,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.64,0.58,0.49,0.68,0.46,0.52,0.55,0.54,0.42,0.35
flexpay.csv,0.37,0.4,0.51,0.17,0.12,0.54,0.46,0.76,0.22,0.41
jstock.csv,0.14,0.53,0.33,0.28,0.19,0.1,0.38,0.9,0.1,0.33
keyczar.csv,0.11,0.28,0.07,0.17,0.07,0.06,0.16,0.18,0.35,0.79
modellus.csv,0.31,0.59,0.57,0.43,0.53,0.78,0.73,0.36,0.42,0.22
open-data-kit.csv,0.46,0.62,0.51,0.44,0.43,0.7,0.78,0.82,0.46,0.34
phet.csv,0.61,0.44,0.19,0.34,0.28,0.18,0.34,0.45,0.36,0.27
qtractor.csv,0.29,0.78,0.55,0.55,0.58,0.75,0.65,0.5,0.42,0.05
sumatrapdf.csv,0.3,0.72,0.17,0.52,0.78,0.52,0.33,0.68,0.43,0.65
synergyspace.csv,0.43,0.36,0.57,0.12,0.69,0.56,0.42,0.47,0.72,0.33
