,paintown.csv,smbopensoft.csv,triplea.csv,fbmanager.csv,bscwweasel.csv,retromenu.csv,capcode.csv,freenet.csv,boost-sandbox.csv,onotoa.csv,dspace-gsoc.csv,powerfolder.csv,megameknet.csv,ondex.csv,emite.csv,geogebra.csv,tweetsharp.csv,xamj.csv
boost-sandbox.csv,97.5,197.5,97.5,98.5,386.0,719.0,195.0,396.0,98.5,99.0,97.5,662.5,99.0,486.0,98.5,99.0,196.5,99.0
bscwweasel.csv,196.0,96.5,97.5,98.5,192.0,376.0,96.5,197.0,98.5,289.5,97.5,184.0,97.5,388.5,98.5,99.0,97.5,99.0
capcode.csv,97.5,98.5,97.5,194.0,196.0,465.5,96.5,396.0,96.5,99.0,97.5,948.0,99.0,928.5,93.5,99.0,372.5,99.0
dspace-gsoc.csv,97.5,197.5,196.5,96.5,294.5,840.5,292.5,198.0,98.5,99.0,97.5,1818.0,99.0,682.0,98.5,99.0,95.5,99.0
emite.csv,351.0,197.5,95.5,98.5,192.0,466.5,195.0,98.5,98.5,237.5,97.5,567.0,99.0,290.5,98.5,99.0,67.5,99.0
fbmanager.csv,0.0,0.0,0.0,96.5,67.5,188.0,96.5,4.5,0.0,22.5,0.0,275.5,0.0,0.0,98.5,0.0,97.5,0.0
freenet.csv,196.0,293.0,196.5,195.0,196.0,182.0,292.5,396.0,97.5,99.0,97.5,1143.0,99.0,781.0,98.5,99.0,196.5,99.0
geogebra.csv,193.0,98.5,97.5,98.5,267.5,280.5,195.0,98.5,98.5,94.5,97.5,473.5,99.0,486.5,95.5,99.0,178.0,99.0
megameknet.csv,196.0,197.5,95.5,98.5,186.0,756.0,292.5,197.5,98.5,196.0,97.5,760.0,99.0,682.0,98.5,99.0,196.5,99.0
ondex.csv,90.5,98.5,97.5,158.0,196.0,369.0,483.0,197.0,95.5,191.0,97.5,5319.5,99.0,644.5,93.5,99.0,87.5,99.0
onotoa.csv,630.5,95.5,95.5,194.0,294.5,742.0,588.5,197.0,96.5,99.0,97.5,5430.0,99.0,937.5,92.5,99.0,196.5,99.0
paintown.csv,196.0,197.5,194.5,98.5,294.5,745.0,292.5,297.0,98.5,99.0,97.5,1046.5,99.0,684.5,98.5,99.0,97.5,99.0
powerfolder.csv,94.5,197.5,72.5,98.5,577.0,359.0,94.5,197.5,97.5,99.0,189.0,189.0,98.5,290.5,95.5,99.0,89.5,99.0
retromenu.csv,119.0,98.5,64.5,92.5,178.0,89.5,94.5,197.5,98.5,186.5,78.0,90.5,99.0,194.0,60.5,99.0,97.5,99.0
smbopensoft.csv,97.5,98.5,97.5,96.5,294.5,756.0,290.5,198.0,96.5,97.5,97.5,663.5,99.0,683.5,95.5,99.0,196.5,98.5
triplea.csv,196.0,197.5,97.5,98.5,669.5,756.0,192.0,297.0,98.5,99.0,184.0,936.0,99.0,290.5,95.5,99.0,70.5,99.0
tweetsharp.csv,90.5,96.5,286.0,87.5,196.0,174.0,192.0,198.0,96.5,99.0,97.5,4352.0,98.5,845.0,98.5,99.0,196.5,99.0
xamj.csv,196.0,98.5,173.0,98.5,294.5,663.5,292.5,396.0,98.5,99.0,97.5,752.0,99.0,1013.5,97.5,99.0,196.5,99.0
