,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.49,0.11,0.72,0.26,0.27,0.64,0.28,0.25,0.33,0.83,0.39,0.34,0.76,0.35,0.14,0.11,0.68,0.05,0.69,0.71
etherboot.csv,0.0,0.07,0.0,0.14,0.0,0.78,0.0,0.34,0.37,0.0,0.26,0.0,0.81,0.56,0.0,0.48,0.0,0.0,0.0,0.0
gebr.csv,0.41,0.09,0.46,0.18,0.28,0.71,0.34,0.34,0.28,0.56,0.26,0.24,0.93,0.29,0.11,0.54,0.67,0.08,0.58,0.66
gpac.csv,0.55,0.07,0.38,0.14,0.26,0.64,0.38,0.35,0.27,0.68,0.26,0.3,0.72,0.27,0.12,0.49,0.68,0.08,0.58,0.65
gstreamer.csv,0.48,0.09,0.43,0.18,0.33,0.71,0.34,0.38,0.25,0.53,0.26,0.28,0.89,0.23,0.13,0.6,0.77,0.1,0.78,0.67
kml.csv,0.48,0.07,0.39,0.17,0.3,0.72,0.3,0.35,0.27,0.55,0.27,0.25,0.95,0.28,0.14,0.75,0.72,0.09,0.58,0.66
ktc.csv,0.68,0.08,0.64,0.29,0.37,0.86,0.6,0.64,0.24,0.59,0.31,0.47,1.0,0.48,0.2,0.95,0.8,0.11,0.83,0.77
mbse.csv,0.46,0.09,0.52,0.23,0.22,0.56,0.37,0.37,0.22,0.63,0.4,0.43,0.8,0.25,0.13,0.47,0.74,0.1,0.73,0.71
miranda.csv,0.49,0.0,0.52,0.5,0.0,0.75,0.35,0.52,0.31,0.5,0.5,0.48,0.0,0.48,0.14,1.0,1.0,0.06,0.58,0.78
neoengine.csv,0.61,0.07,0.56,0.25,0.3,0.73,0.38,0.48,0.29,0.57,0.36,0.25,0.94,0.54,0.16,0.53,0.69,0.0,0.58,0.68
nicepress.csv,0.48,0.08,0.38,0.2,0.3,0.64,0.36,0.57,0.25,0.54,0.26,0.25,0.73,0.25,0.15,0.48,0.7,0.06,0.62,0.68
omseek.csv,0.66,0.0,0.72,0.69,0.36,1.0,0.69,0.27,0.38,0.6,0.24,0.5,1.0,0.5,0.26,1.0,0.88,0.2,0.82,0.88
pcsx2.csv,0.52,0.09,0.63,0.21,0.33,0.7,0.43,0.35,0.31,0.66,0.24,0.25,0.72,0.5,0.18,0.9,0.8,0.0,0.7,0.66
plplot.csv,0.5,0.07,0.65,0.18,0.27,0.8,0.33,0.41,0.29,0.55,0.27,0.25,0.84,0.58,0.14,0.49,0.7,0.07,0.58,0.7
rosegarden.csv,0.61,0.06,0.4,0.2,0.3,0.79,0.57,0.46,0.29,0.67,0.36,0.32,0.95,0.48,0.15,0.84,0.75,0.08,0.68,0.73
smarttag.csv,0.46,0.1,0.55,0.15,0.31,0.68,0.3,0.4,0.24,0.62,0.33,0.67,0.95,0.47,0.12,0.75,0.83,0.1,0.82,0.76
vapor.csv,0.0,0.09,0.56,0.15,0.41,0.73,0.0,0.35,0.27,0.0,0.26,0.52,0.83,0.39,0.15,0.54,1.0,0.06,0.0,0.0
wxjs.csv,0.22,0.0,0.38,0.0,0.0,1.0,0.0,0.67,0.0,0.33,0.0,0.0,0.0,1.0,0.0,0.5,0.71,0.3,0.5,0.0
zorannt.csv,0.47,0.11,0.78,0.33,0.26,0.75,0.42,0.43,0.43,0.61,0.28,0.28,0.81,0.53,0.18,0.71,0.69,0.1,0.6,0.68
zscreen.csv,0.58,0.14,0.55,0.19,0.37,0.91,0.39,0.38,0.25,0.67,0.32,0.41,0.96,0.34,0.17,1.0,0.81,0.08,0.83,0.69
