,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.49,0.83,0.05,0.23,0.53,0.74,0.5,0.25,0.18,0.45
libtorrent.csv,0.83,0.5,0.12,0.39,0.84,0.82,0.67,0.25,0.39,0.91
mcmc-jags.csv,0.57,0.48,0.09,0.68,0.78,0.76,0.71,0.36,0.26,0.86
nebuladevice.csv,0.72,0.13,0.0,0.37,0.0,0.58,0.42,0.0,0.48,0.85
olap-navigator.csv,0.89,0.4,0.14,0.56,0.74,0.65,0.6,0.27,0.39,0.91
pidgin.csv,0.77,0.51,0.12,0.53,0.79,0.7,0.72,0.32,0.26,0.92
salasaga.csv,0.62,0.54,0.09,0.44,0.76,0.6,0.67,0.44,0.15,0.91
sepgsql.csv,0.75,0.56,0.19,0.38,0.77,0.56,0.6,0.29,0.1,0.88
xstore.csv,0.59,0.13,0.09,0.52,0.83,0.47,0.75,0.34,0.3,0.9
xtreemfs.csv,0.84,0.5,0.09,0.47,0.82,0.68,0.71,0.23,0.11,0.91
