,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv
ikvm.csv,0.81,0.2,0.75,0.55,0.56,0.83,0.63,1.0,0.63,0.8
libtorrent.csv,0.81,0.47,0.66,0.52,0.8,0.28,0.66,0.71,0.59,0.75
mcmc-jags.csv,0.33,0.63,0.91,0.24,0.62,0.56,0.78,0.38,0.75,0.66
nebuladevice.csv,0.74,0.2,0.0,0.57,0.0,0.28,0.41,0.01,0.28,0.43
olap-navigator.csv,0.07,0.47,0.52,0.19,0.33,0.11,0.54,0.55,0.49,0.48
pidgin.csv,0.52,0.53,0.67,0.17,0.33,0.22,0.39,0.62,0.25,0.59
salasaga.csv,0.56,0.7,0.37,0.57,0.41,0.44,0.41,0.3,0.3,0.59
sepgsql.csv,0.04,0.47,0.32,0.14,0.38,0.0,0.34,0.41,0.06,0.13
xstore.csv,0.56,0.23,1.0,0.05,0.73,0.06,0.22,0.48,0.44,0.8
xtreemfs.csv,0.3,0.37,0.98,0.5,0.89,0.28,0.71,0.79,0.27,0.25
