,jlinalg.csv,superwaba.csv,fritzing.csv,playerstage.csv,qgis.csv,rsyslog.csv,phonon-vlc-mplayer.csv,fm-classic.csv,rtrt-on-gpu.csv,unflobtactical.csv,multitude.csv,loki-lib.csv,cortex-vfx.csv,chaosrts.csv,biopax.csv,metacosm.csv,ng4j.csv
biopax.csv,0.52,0.42,0.42,0.35,0.4,0.52,0.47,0.29,0.41,0.39,0.42,0.51,0.42,0.38,0.55,0.41,0.39
chaosrts.csv,0.46,0.95,0.97,0.54,0.51,0.52,0.62,0.33,0.75,0.55,0.63,0.53,0.53,0.48,0.5,0.4,0.55
cortex-vfx.csv,0.36,0.42,0.47,0.44,0.6,0.5,0.89,0.4,0.8,0.5,0.59,0.91,0.64,0.4,0.74,0.35,0.9
fm-classic.csv,0.73,0.95,0.74,0.8,0.68,0.0,0.96,0.89,0.0,0.67,0.0,0.83,0.8,0.94,0.69,0.73,0.8
fritzing.csv,0.45,0.52,0.46,0.52,0.62,0.55,0.72,0.3,0.5,0.41,0.52,0.71,0.7,0.5,0.62,0.48,0.68
jlinalg.csv,0.47,0.93,0.48,0.43,0.43,0.69,0.48,0.37,0.5,0.43,0.56,0.48,0.42,0.44,0.51,0.42,0.6
loki-lib.csv,0.4,0.62,0.85,0.36,0.44,0.52,0.48,0.29,0.67,0.36,0.49,0.48,0.72,0.49,0.79,0.34,0.5
metacosm.csv,0.5,0.56,0.46,0.55,0.45,0.75,0.62,0.59,0.43,0.44,0.81,0.86,0.41,0.47,0.52,0.42,0.57
multitude.csv,0.5,0.51,0.44,0.34,0.39,0.52,0.46,0.37,0.44,0.37,0.46,0.5,0.42,0.39,0.5,0.38,0.49
ng4j.csv,0.53,0.93,0.47,0.62,0.7,0.59,0.64,0.46,0.75,0.48,0.66,0.58,0.42,0.7,0.7,0.37,0.7
phonon-vlc-mplayer.csv,0.44,0.46,0.52,0.51,0.54,0.53,0.86,0.4,0.67,0.39,0.55,0.61,0.78,0.39,0.61,0.42,0.73
playerstage.csv,0.41,0.5,0.44,0.51,0.6,0.59,0.69,0.53,0.75,0.39,0.58,0.57,0.42,0.46,0.6,0.4,0.55
qgis.csv,0.6,0.5,0.45,0.39,0.51,0.0,0.65,0.4,0.62,0.53,0.5,0.71,0.45,0.6,0.65,0.61,0.76
rsyslog.csv,0.53,0.42,0.43,0.36,0.43,0.44,0.49,0.3,0.52,0.36,0.41,0.43,0.42,0.41,0.84,0.5,0.57
rtrt-on-gpu.csv,0.92,0.49,0.93,0.59,0.86,0.69,0.66,0.59,0.83,0.62,0.73,0.8,0.51,0.89,0.77,0.8,0.54
superwaba.csv,0.42,0.44,0.42,0.42,0.39,0.43,0.42,0.29,0.44,0.31,0.4,0.39,0.43,0.38,0.67,0.53,0.41
unflobtactical.csv,0.62,0.42,0.44,0.42,0.47,0.5,0.8,0.4,0.67,0.34,0.45,0.74,0.45,0.42,0.59,0.41,0.54
