,guineu.csv,owlib.csv,prelude.csv,owfs.csv,octave.csv,mpqc.csv,inkscape.csv,robocode.csv,checker-framework.csv,uwom-server.csv,nsis.csv,zengine.csv,zildo.csv,fluidium.csv,pamguard.csv,customsagetv.csv
checker-framework.csv,0.74,0.84,0.84,0.78,0.57,0.93,0.72,0.64,0.2,0.82,0.96,0.65,0.74,0.71,0.63,0.98
customsagetv.csv,0.69,0.87,0.79,0.55,0.71,0.88,0.69,0.83,0.86,0.71,0.85,0.87,0.6,1.0,0.74,0.18
fluidium.csv,0.92,1.0,1.0,0.79,0.95,0.95,1.0,0.96,1.0,1.0,1.0,1.0,0.95,0.47,1.0,0.86
guineu.csv,0.45,0.7,0.95,0.78,0.5,0.81,0.6,0.88,0.91,0.76,0.79,0.73,0.62,0.81,0.72,0.18
inkscape.csv,0.73,0.68,1.0,1.0,0.74,0.86,0.42,0.81,0.91,0.65,0.91,1.0,0.9,1.0,0.94,0.84
mpqc.csv,0.84,0.93,0.84,1.01,0.89,0.56,0.83,0.86,1.0,0.81,0.8,0.76,0.98,0.89,0.79,0.8
nsis.csv,0.85,0.92,0.55,0.87,0.93,0.63,0.92,0.94,0.78,0.8,0.32,0.53,0.78,0.84,0.91,0.49
octave.csv,0.78,0.66,0.83,0.73,0.52,0.71,0.57,0.84,0.98,0.67,1.02,0.65,0.81,0.7,0.73,0.71
owfs.csv,0.92,0.93,0.65,0.56,0.76,0.82,0.94,0.93,0.63,0.95,0.72,0.83,0.71,0.86,0.91,0.94
owlib.csv,0.6,0.42,0.73,0.75,0.65,0.89,0.66,0.55,0.51,0.57,0.72,0.67,0.52,0.57,0.72,0.59
pamguard.csv,0.66,0.72,0.48,0.56,0.46,0.75,0.6,0.71,0.46,0.76,0.86,0.58,0.71,0.95,0.43,1.05
prelude.csv,0.93,0.99,0.19,0.88,0.94,0.88,0.75,0.94,0.71,0.82,1.07,0.52,0.96,0.59,0.94,0.75
robocode.csv,0.65,0.52,0.98,0.5,0.73,0.84,0.47,0.41,0.82,0.51,0.74,0.73,0.81,0.61,0.63,0.75
uwom-server.csv,0.79,0.79,1.0,1.0,0.57,0.81,0.49,0.86,0.8,0.5,0.84,0.63,0.99,0.69,0.79,0.64
zengine.csv,1.0,0.99,0.49,0.88,0.95,0.93,1.0,1.0,0.91,0.89,1.0,0.18,0.91,0.93,1.0,0.89
zildo.csv,0.52,0.73,0.41,0.78,0.61,0.81,0.62,0.66,0.48,0.68,0.89,0.48,0.39,0.77,0.73,0.32
