,ontomorphtab.csv,delphilhlplib.csv,flexpay.csv,gabel.csv,img-browse-sort.csv,passwordsafe.csv,genoviz.csv
delphilhlplib.csv,0.71,0.89,0.24,0.17,0.62,0.42,0.11
flexpay.csv,0.76,0.77,0.29,0.23,0.25,0.29,0.2
gabel.csv,0.89,0.82,0.26,0.26,0.47,0.75,0.14
genoviz.csv,1.0,0.78,0.24,0.14,0.5,1.0,0.56
img-browse-sort.csv,0.77,0.75,0.19,0.15,0.5,0.62,0.16
ontomorphtab.csv,0.9,0.74,0.2,0.14,0.29,0.56,0.17
passwordsafe.csv,0.82,0.76,0.19,0.15,0.44,0.63,0.23
