,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.28,0.53,0.29,0.98,0.42,0.4,0.15,0.15,0.39,0.44,0.36,0.34,0.18,0.79
boost-sandbox.csv,0.46,0.45,0.26,0.26,0.37,1.0,0.19,0.32,0.61,0.61,0.53,0.5,0.23,0.65
customwars.csv,0.16,0.25,0.37,0.51,0.28,0.08,0.29,0.94,0.31,0.18,0.38,0.49,0.46,0.26
dvd-create.csv,0.47,0.8,0.42,0.65,0.99,0.67,0.27,0.26,0.65,0.7,0.58,0.35,0.16,0.89
frogatto.csv,0.42,0.77,0.38,0.67,0.76,0.53,0.21,0.29,0.52,0.97,0.47,0.52,0.25,0.7
glelite.csv,0.45,0.78,0.4,0.69,0.89,0.85,0.37,0.26,0.64,0.69,0.53,0.45,0.16,1.0
go.csv,0.46,0.98,0.39,0.61,0.78,0.83,0.52,0.26,0.65,0.71,0.5,0.31,0.18,0.85
irplus.csv,0.26,0.65,0.34,0.65,0.63,0.18,0.5,0.35,0.29,0.28,1.0,0.3,0.18,0.2
lsb.csv,0.48,0.76,0.97,0.62,0.65,0.61,0.0,0.28,0.64,0.69,0.41,0.67,0.2,0.62
moving-pictures.csv,0.45,0.69,0.49,0.56,0.75,0.61,0.37,0.22,0.96,0.66,0.5,0.4,0.26,0.81
mpgravity.csv,0.39,0.56,0.3,0.6,0.56,0.57,0.88,0.34,0.61,0.2,0.37,0.41,0.27,0.49
plearn.csv,0.96,0.28,0.31,0.58,0.34,0.35,0.29,0.11,0.4,0.51,0.39,0.48,0.16,0.45
rebecca-aiml.csv,0.36,0.66,0.38,0.65,0.65,0.27,0.0,0.28,0.53,0.58,0.4,0.98,0.19,0.49
wxcode.csv,0.25,0.0,0.16,0.26,0.0,0.02,0.15,0.0,0.0,0.05,0.0,0.07,0.93,0.09
