,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.79,0.7,0.75,0.03,0.9,0.89,0.98,0.84,0.77,0.73,0.74,0.77,0.66,0.35
boost-sandbox.csv,0.64,0.7,0.84,0.86,0.78,0.01,0.85,0.7,0.69,0.63,0.59,0.53,0.55,0.51
customwars.csv,0.9,0.89,0.69,0.72,0.91,0.96,0.83,0.12,0.8,0.9,0.73,0.65,0.57,0.85
dvd-create.csv,0.74,0.65,0.75,0.76,0.01,0.79,0.76,0.74,0.67,0.58,0.61,0.79,0.74,0.39
frogatto.csv,0.67,0.72,0.72,0.78,0.68,0.67,0.84,0.6,0.63,0.06,0.61,0.5,0.47,0.81
glelite.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
go.csv,0.81,0.05,0.61,0.73,0.49,0.73,0.46,0.81,0.53,0.41,0.63,0.86,0.66,1.03
irplus.csv,0.81,0.56,0.76,0.53,0.58,0.91,0.67,0.51,0.82,0.83,0.0,0.8,0.86,0.89
lsb.csv,0.7,0.53,0.07,0.74,0.56,0.7,1.0,0.88,0.76,0.61,0.79,0.32,0.59,0.55
moving-pictures.csv,0.58,0.49,0.61,0.8,0.56,0.79,1.0,0.76,0.07,0.52,0.63,0.7,0.51,1.04
mpgravity.csv,0.67,0.65,0.74,0.66,0.76,0.78,0.1,0.53,0.55,0.91,0.74,0.65,0.5,0.67
plearn.csv,0.08,0.96,0.73,0.67,0.92,0.8,0.82,0.9,0.75,0.8,0.7,0.55,0.74,0.71
rebecca-aiml.csv,0.71,0.85,0.76,0.83,0.8,0.85,1.0,0.68,0.61,0.56,0.7,0.04,0.59,0.67
wxcode.csv,0.85,1.0,0.91,0.84,1.0,0.99,0.92,1.0,1.0,0.97,1.0,0.96,0.01,0.95
