,plearn.csv,go.csv,lsb.csv,aubit4gl.csv,dvd-create.csv,boost-sandbox.csv,mpgravity.csv,customwars.csv,moving-pictures.csv,frogatto.csv,irplus.csv,rebecca-aiml.csv,wxcode.csv,glelite.csv
aubit4gl.csv,0.34,0.44,0.4,0.98,0.3,0.29,0.25,0.24,0.36,0.39,0.36,0.5,0.71,0.65
boost-sandbox.csv,0.73,0.32,0.16,0.19,0.23,0.99,0.25,0.94,0.75,0.64,0.68,0.69,0.86,0.49
customwars.csv,0.1,0.16,0.33,0.5,0.18,0.05,0.17,0.88,0.21,0.11,0.28,0.35,0.43,0.15
dvd-create.csv,0.85,0.91,0.87,0.8,0.99,0.62,0.42,0.71,0.82,0.81,0.84,0.56,0.71,0.81
frogatto.csv,0.63,0.89,0.69,0.85,0.7,0.39,0.17,0.59,0.5,0.94,0.48,0.57,0.71,0.54
glelite.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
go.csv,0.88,0.99,0.49,0.7,0.7,0.89,0.58,0.82,0.71,0.69,0.64,0.5,0.71,0.75
irplus.csv,0.2,0.58,0.24,0.65,0.49,0.1,0.33,0.65,0.21,0.19,1.0,0.2,0.14,0.11
lsb.csv,0.86,0.78,0.93,0.72,0.51,0.52,0.0,0.94,0.86,0.81,0.56,0.8,0.71,0.45
moving-pictures.csv,0.56,0.62,0.91,0.63,0.66,0.54,1.0,0.53,0.93,0.67,0.64,0.61,1.0,0.7
mpgravity.csv,0.51,0.47,0.44,0.65,0.43,0.49,0.92,0.71,0.64,0.14,0.4,0.56,0.57,0.33
plearn.csv,0.92,0.22,0.44,0.61,0.23,0.23,0.58,0.12,0.36,0.56,0.36,0.61,0.29,0.29
rebecca-aiml.csv,0.31,0.72,0.76,0.83,0.55,0.17,0.0,0.35,0.5,0.5,0.32,0.96,0.57,0.33
wxcode.csv,0.15,0.0,0.09,0.17,0.0,0.01,0.08,0.0,0.0,0.03,0.0,0.04,1.0,0.05
