,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv,web-cat.csv
cleartk.csv,1.0,0.82,0.75,1.0,0.71,0.7,0.59,0.66,0.67,0.73,0.84,0.65,0.88,0.94,0.74
encog-cs.csv,1.0,0.9,0.62,0.86,0.71,0.73,0.9,0.87,0.98,0.86,1.0,0.85,0.77,0.92,0.68
extprosys.csv,1.0,0.69,0.91,0.66,0.86,0.53,0.59,0.72,0.71,0.77,0.34,0.85,0.75,0.69,0.58
ibatisdb.csv,0.0,0.04,0.13,0.1,0.14,0.23,0.36,0.15,0.02,0.32,0.29,0.75,0.02,0.97,0.0
intact.csv,0.0,0.49,0.38,0.47,0.61,0.87,0.46,0.56,0.38,0.45,0.47,0.55,0.53,0.36,0.16
japano.csv,1.0,0.86,1.0,0.45,0.39,0.6,0.64,1.0,0.56,0.73,1.0,0.5,0.6,0.94,0.84
lockss.csv,1.0,0.14,0.0,0.09,0.18,0.17,0.1,0.1,0.36,0.91,0.21,0.15,0.06,0.03,0.0
ofbiz.csv,0.0,0.39,0.3,0.2,0.18,0.33,0.05,0.18,0.33,0.27,0.58,0.15,0.98,0.61,0.68
officefloor.csv,0.0,0.45,0.4,0.69,0.21,0.4,0.54,0.55,0.18,0.18,0.84,0.6,0.13,0.64,0.26
opennms.csv,1.0,0.29,0.13,0.09,0.93,0.03,0.28,0.08,0.21,0.27,0.18,0.1,0.26,0.17,0.11
rohxel.csv,1.0,0.92,0.66,0.78,0.93,0.9,1.0,0.87,0.95,0.91,0.89,0.75,0.97,1.0,0.89
roolo.csv,1.0,0.37,0.38,0.15,0.32,0.3,0.15,0.2,0.36,0.27,0.39,0.95,0.54,0.19,0.42
sevenupdate.csv,1.0,1.0,0.98,0.94,0.54,0.8,0.92,0.94,0.91,0.91,1.0,0.95,0.87,0.94,1.0
web-cat.csv,0.0,0.43,0.13,0.67,0.46,0.3,0.49,0.56,0.3,0.36,0.32,0.55,0.23,0.11,1.0
