,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.64,1.0,0.5,0.45,0.71,0.35,1.0,0.2,0.33,0.38,0.57,0.0,0.36
emulemorph.csv,0.36,0.5,0.38,0.09,0.46,0.0,0.0,0.2,0.83,0.23,0.02,0.0,0.09
gisgraphy.csv,0.0,0.0,0.25,0.55,0.25,0.04,1.0,0.6,0.0,0.08,0.26,0.0,0.77
jaxen.csv,0.85,1.0,0.88,0.64,0.83,0.75,0.0,1.0,0.83,0.92,0.54,0.0,0.55
jvcl.csv,0.18,0.25,0.62,0.09,0.62,0.08,0.0,1.0,0.67,0.15,0.34,0.0,0.36
m-m-m.csv,0.51,0.75,0.69,0.91,0.88,0.88,1.0,1.0,0.67,1.0,0.82,1.0,0.82
motu.csv,0.59,1.0,1.0,1.0,0.96,0.53,0.0,1.0,0.83,0.62,0.82,1.0,0.82
nh3d.csv,0.67,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.28,0.5,0.25,0.82,0.29,0.25,1.0,1.0,0.0,0.54,0.57,1.0,0.73
wgs-assembler.csv,0.54,1.0,0.88,0.73,0.88,0.33,1.0,0.8,0.67,1.0,0.66,0.0,0.64
zabbix.csv,0.82,0.0,1.0,0.82,0.5,0.37,0.0,0.4,0.5,0.77,0.51,0.0,0.55
