,wgs-assembler.csv,nh3d.csv,jvcl.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,scen-connect.csv,jaxen.csv,emulemorph.csv,motu.csv,zabbix.csv,jfreechart.csv,gisgraphy.csv
blogentis.csv,0.83,1.0,0.59,0.67,0.43,0.76,0.49,0.82,0.95,0.72,0.54,1.08,0.91
emulemorph.csv,0.71,0.57,0.66,0.93,0.62,1.0,1.13,0.8,0.33,0.82,0.98,1.17,0.91
gisgraphy.csv,1.0,1.0,0.76,0.49,0.75,0.96,0.41,0.47,1.01,0.94,0.79,1.0,0.32
jaxen.csv,0.88,0.92,0.63,0.7,0.81,0.84,1.35,0.1,0.88,0.79,0.49,1.28,0.84
jvcl.csv,0.83,0.75,0.48,0.92,0.6,0.92,1.0,0.62,0.56,0.85,0.66,1.2,0.84
m-m-m.csv,0.73,0.55,0.9,0.78,0.91,0.32,0.97,0.99,0.71,0.87,0.9,0.41,0.98
motu.csv,0.6,0.67,0.94,0.89,0.96,0.76,1.01,0.98,0.67,0.45,0.95,0.89,0.93
nh3d.csv,0.65,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sarasvati.csv,0.75,0.67,0.9,0.34,0.82,0.77,0.43,0.96,1.02,0.63,0.98,0.23,0.74
wgs-assembler.csv,0.57,0.97,0.92,0.9,0.92,0.67,0.87,1.02,0.86,0.91,0.9,1.15,0.62
zabbix.csv,0.83,1.01,1.0,0.73,0.62,0.7,1.08,0.7,0.67,0.86,0.57,1.15,0.59
