,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.64,0.94,0.97,1.03,0.11
chaperon.csv,0.74,0.77,0.79,0.1,1.01
mule.csv,0.54,0.78,0.8,0.51,0.76
springside.csv,0.55,0.38,0.86,0.6,0.54
swtfox.csv,0.93,0.95,0.44,0.99,1.17
