,thout.csv,psrchive.csv,jvcl.csv,zact.csv,sarasvati.csv,liferea.csv,kwave.csv,blogentis.csv,checker-framework.csv,fontforge.csv,magicwars.csv,lockss.csv,stuproa-cims.csv,ctrlr.csv,gusanos.csv,pydev.csv,cme.csv
blogentis.csv,0.43,0.36,0.62,0.29,0.36,0.85,0.56,0.96,0.54,0.88,0.24,0.45,0.38,0.33,0.42,0.81,0.8
checker-framework.csv,0.41,0.0,0.88,0.14,0.27,0.38,0.31,0.38,1.0,0.0,0.19,0.09,0.15,0.0,0.01,0.33,0.4
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ctrlr.csv,0.07,0.0,0.0,0.29,0.0,0.62,0.19,0.0,0.08,0.04,0.3,0.0,0.0,0.81,0.22,0.08,0.4
fontforge.csv,0.11,0.36,0.44,0.14,0.27,0.38,0.19,0.21,0.54,0.92,0.18,0.36,0.13,0.0,0.21,0.14,1.0
gusanos.csv,0.55,0.57,0.44,0.43,0.55,0.62,0.5,0.5,0.62,0.54,0.51,0.59,0.64,0.14,1.0,0.56,0.4
jvcl.csv,0.07,0.0,0.69,0.29,0.09,0.15,0.0,0.04,0.38,0.12,0.12,0.0,0.07,0.05,0.01,0.22,0.0
kwave.csv,0.52,0.29,0.75,0.43,0.36,0.54,0.88,0.25,0.38,0.12,0.28,0.5,0.15,0.05,0.25,0.33,0.4
liferea.csv,0.41,0.29,0.88,0.43,0.45,0.92,0.19,0.46,0.62,0.71,0.27,0.59,0.29,0.05,0.3,0.5,0.4
lockss.csv,0.27,0.0,0.44,0.14,0.36,0.31,0.0,0.08,0.08,0.17,0.08,0.91,0.04,0.14,0.06,0.14,0.0
magicwars.csv,0.91,1.0,1.0,0.86,0.82,1.0,1.0,0.96,1.0,1.0,0.97,0.95,0.82,1.0,1.0,0.92,1.0
psrchive.csv,0.18,0.86,0.44,0.0,0.91,0.0,0.25,0.54,0.38,0.08,0.45,0.64,0.38,0.1,0.1,0.64,0.0
pydev.csv,0.43,0.43,0.56,0.0,0.36,0.62,0.31,0.17,0.69,0.83,0.35,0.73,0.31,0.05,0.24,1.0,0.8
sarasvati.csv,0.11,0.0,0.0,0.14,1.0,0.15,0.5,0.04,0.54,0.0,0.17,0.55,0.27,0.33,0.19,0.22,0.0
stuproa-cims.csv,0.77,0.86,1.0,0.71,0.64,0.92,0.69,0.96,0.85,1.0,0.79,0.91,0.95,0.86,0.93,0.83,1.0
thout.csv,0.86,0.5,0.69,0.29,0.45,0.54,0.69,0.46,0.69,0.38,0.31,0.77,0.44,0.86,0.39,0.56,0.8
zact.csv,0.0,0.0,0.5,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
