,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.27,0.25,0.8,0.76,0.6,0.08,0.0,0.51,0.57,0.7,0.3,0.81
freedom-erp.csv,0.1,0.12,0.1,0.02,0.51,0.0,0.3,0.03,0.33,0.5,0.53,0.0
javaprofiler.csv,0.61,0.61,0.6,0.81,0.52,0.53,1.0,0.69,0.2,0.5,0.7,0.17
jmoney.csv,0.2,0.41,0.35,0.19,0.45,0.35,0.21,0.34,0.13,0.8,0.51,0.11
jsidplay2.csv,0.27,0.37,0.2,0.06,0.63,0.2,0.83,0.26,0.04,0.4,0.16,0.42
reaper3d.csv,0.44,0.29,0.4,0.28,0.23,0.1,0.57,0.35,0.59,0.5,0.7,0.22
servicestack.csv,0.07,0.0,0.0,0.03,0.03,0.0,0.0,0.02,0.15,0.07,0.0,0.0
springside.csv,0.46,0.82,0.5,0.22,0.57,0.33,0.29,0.74,0.5,0.6,0.67,0.11
swtfox.csv,0.59,0.29,0.4,0.65,0.22,0.27,0.19,0.43,0.35,0.57,0.3,0.53
synecdoche.csv,0.51,0.73,0.25,0.22,0.72,0.25,0.67,0.48,0.5,0.73,0.26,0.56
tmva.csv,0.61,0.61,0.3,0.45,0.68,0.38,0.97,0.49,0.59,0.43,0.72,0.72
wsmt.csv,0.12,0.04,0.05,0.14,0.08,0.02,0.09,0.0,0.65,0.1,0.07,0.47
