,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.35,0.59,0.61,0.61,0.72,0.14,0.0,0.5,0.12,0.77,0.17,0.71
freedom-erp.csv,0.75,0.11,0.39,0.0,0.25,0.02,0.73,0.0,0.29,0.31,0.52,0.04
javaprofiler.csv,0.65,0.56,0.49,0.88,0.45,0.57,1.0,0.25,0.53,0.37,0.62,0.8
jmoney.csv,0.8,0.78,0.63,0.35,0.38,0.37,0.36,0.62,0.47,0.43,0.59,0.32
jsidplay2.csv,0.4,0.26,0.81,0.06,0.4,0.33,0.97,0.38,0.18,0.06,0.31,0.27
reaper3d.csv,0.65,0.67,0.63,0.43,0.35,0.14,0.67,0.88,0.53,0.31,0.55,0.25
servicestack.csv,0.05,0.0,0.0,0.06,0.12,0.01,0.01,0.0,0.65,0.03,0.0,0.03
springside.csv,0.65,0.93,0.58,0.67,0.45,0.4,0.49,0.88,0.76,0.23,0.66,0.19
swtfox.csv,0.35,0.59,0.34,0.65,0.65,0.37,0.06,0.12,0.76,0.43,0.24,0.72
synecdoche.csv,0.95,0.67,0.76,0.31,0.6,0.52,0.96,0.62,0.59,0.77,0.62,0.48
tmva.csv,0.55,0.63,0.73,0.65,0.5,0.8,1.0,0.62,0.47,0.57,0.9,0.41
wsmt.csv,0.2,0.07,0.05,0.14,0.05,0.01,0.06,0.0,0.29,0.77,0.0,0.55
