,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.37,0.57,0.65,0.39,0.54,0.24,0.0,0.13,0.09,0.65,0.21,0.68
freedom-erp.csv,0.77,0.17,0.55,0.0,0.24,0.04,0.75,0.0,0.27,0.36,0.45,0.08
javaprofiler.csv,0.45,0.41,0.58,0.51,0.39,0.64,0.73,0.05,0.51,0.41,0.47,0.85
jmoney.csv,0.73,0.61,0.72,0.4,0.36,0.5,0.48,0.21,0.52,0.41,0.5,0.47
jsidplay2.csv,0.41,0.26,0.86,0.1,0.33,0.47,0.76,0.16,0.27,0.08,0.4,0.36
reaper3d.csv,0.51,0.6,0.71,0.43,0.41,0.24,0.64,0.28,0.34,0.36,0.43,0.37
servicestack.csv,0.08,0.0,0.0,0.11,0.21,0.01,0.02,0.0,0.63,0.05,0.0,0.05
springside.csv,0.5,0.53,0.66,0.64,0.38,0.52,0.58,0.16,0.49,0.26,0.49,0.3
swtfox.csv,0.27,0.55,0.46,0.45,0.65,0.51,0.1,0.04,0.57,0.45,0.29,0.73
synecdoche.csv,0.63,0.44,0.83,0.35,0.43,0.65,0.78,0.16,0.4,0.64,0.62,0.55
tmva.csv,0.39,0.45,0.8,0.52,0.38,0.83,0.74,0.16,0.31,0.59,0.6,0.47
wsmt.csv,0.28,0.13,0.1,0.2,0.09,0.02,0.11,0.0,0.19,0.83,0.0,0.62
