,jmoney.csv,dxengine.csv,jsidplay2.csv,springside.csv,swtfox.csv,tmva.csv,freedom-erp.csv,reaper3d.csv,servicestack.csv,wsmt.csv,synecdoche.csv,javaprofiler.csv
dxengine.csv,0.7,0.48,0.89,0.85,0.66,0.87,1.0,0.71,1.05,0.74,0.88,0.86
freedom-erp.csv,0.27,0.9,0.62,1.0,0.91,0.98,0.4,1.0,0.78,0.85,0.72,0.96
javaprofiler.csv,0.7,0.75,0.79,0.82,0.76,0.69,1.0,1.02,0.51,0.8,0.79,0.26
jmoney.csv,0.28,0.47,0.51,0.68,0.77,0.72,0.67,0.51,0.55,0.98,0.66,0.69
jsidplay2.csv,0.66,0.83,0.27,0.94,0.87,0.7,0.83,0.68,0.82,1.02,0.71,0.84
reaper3d.csv,0.56,0.44,0.55,0.64,0.69,0.87,0.66,0.37,0.75,0.85,0.83,0.78
servicestack.csv,0.95,1.0,1.0,0.94,0.88,0.99,0.99,1.0,0.38,0.97,1.0,0.97
springside.csv,0.58,0.83,0.66,0.39,0.79,0.69,0.58,0.75,0.55,0.98,0.76,0.82
swtfox.csv,0.87,0.5,0.77,0.73,0.41,0.68,0.96,0.97,0.42,0.8,0.82,0.6
synecdoche.csv,0.51,0.8,0.34,0.73,0.83,0.54,0.67,0.61,0.65,0.77,0.46,0.76
tmva.csv,0.76,0.71,0.4,0.57,0.84,0.43,0.97,0.62,0.79,0.61,0.73,0.93
wsmt.csv,0.81,0.93,0.95,0.87,0.95,0.99,0.94,1.0,0.96,0.25,1.0,0.65
