,sauerbraten.csv,brlcad.csv,linuxsh.csv,konversation.csv,gnupdate.csv,ogre.csv,bdbbasic.csv,qse.csv,turbotrader-bos.csv,projecteqemu.csv,modplug.csv,openfrag.csv,xapian.csv,google-gears.csv,linux-ntfs.csv,sandiaportals.csv,nativeclient.csv,genoviz.csv
bdbbasic.csv,0.56,0.62,0.72,0.49,0.36,0.78,0.0,0.32,0.46,0.57,0.6,0.58,0.51,0.59,0.59,0.55,0.65,0.49
brlcad.csv,0.85,0.05,0.64,0.86,0.99,0.53,1.0,0.77,0.91,0.96,1.0,0.96,0.97,0.96,1.0,1.0,0.93,0.85
genoviz.csv,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.0
gnupdate.csv,0.58,0.84,0.91,0.42,0.05,0.91,0.64,0.56,0.59,0.69,0.85,0.72,0.78,0.68,0.66,0.63,0.79,0.65
google-gears.csv,0.85,0.74,0.93,0.93,0.72,0.66,0.57,0.61,0.51,0.72,0.78,0.66,0.76,0.01,0.87,0.53,0.88,0.65
konversation.csv,0.6,0.89,0.75,0.0,0.85,0.82,0.95,0.85,0.71,0.85,0.89,0.86,0.82,0.87,0.77,0.87,0.91,0.42
linux-ntfs.csv,0.52,0.68,0.86,0.52,0.56,0.71,0.53,0.62,0.53,0.66,0.82,0.71,0.65,0.62,0.0,0.81,0.67,0.4
linuxsh.csv,0.9,0.94,0.09,1.0,0.9,0.99,0.95,0.86,0.88,0.89,1.0,0.94,0.96,0.93,0.97,0.87,0.96,1.0
modplug.csv,0.66,0.65,0.7,0.67,0.67,1.06,0.44,0.79,0.63,0.83,0.04,0.67,0.61,0.69,0.64,0.53,0.53,0.65
nativeclient.csv,0.48,0.69,0.57,0.43,0.65,0.9,0.67,0.57,0.44,0.73,0.45,0.63,0.7,0.66,0.67,0.63,0.02,0.67
ogre.csv,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.97,1.0,1.0,1.0
openfrag.csv,0.92,0.88,0.87,0.54,0.89,0.73,0.55,0.59,0.54,0.75,0.8,0.02,0.6,0.57,0.74,0.48,0.88,0.84
projecteqemu.csv,0.6,0.74,0.82,0.52,0.8,0.99,0.51,0.55,0.67,0.06,0.6,0.72,0.63,0.74,0.72,0.74,0.84,0.52
qse.csv,0.48,0.75,0.83,0.46,0.48,0.95,0.58,0.02,0.4,0.43,0.65,0.66,0.52,0.7,0.52,0.56,0.76,0.6
sandiaportals.csv,0.92,0.79,0.59,0.61,0.63,0.77,0.59,0.57,0.57,0.68,0.58,0.44,0.47,0.61,0.86,0.02,0.57,0.69
sauerbraten.csv,0.04,0.73,0.71,0.46,0.66,1.27,0.45,0.49,0.48,0.45,0.5,0.62,0.8,0.63,0.64,0.52,0.71,0.53
turbotrader-bos.csv,0.88,0.9,0.56,0.53,0.72,0.77,0.93,0.61,0.03,0.85,1.03,0.74,1.0,0.71,0.73,0.85,0.76,0.58
xapian.csv,0.63,0.81,1.01,0.34,0.95,0.63,0.69,0.66,0.75,0.59,0.57,0.79,0.04,0.69,0.48,0.89,0.85,1.01
