,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.46,0.7,0.61,0.67
ngl.csv,0.47,0.57,0.69,0.62
qmmp.csv,0.5,0.63,0.67,0.77
quarkplusplus.csv,0.56,0.58,0.69,0.69
