,quarkplusplus.csv,multitude.csv,ngl.csv,qmmp.csv
multitude.csv,0.75,0.68,0.79,0.54
ngl.csv,0.67,0.75,0.65,0.83
qmmp.csv,0.54,0.6,0.6,0.65
quarkplusplus.csv,0.58,0.55,0.58,0.38
