,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,silvertree.csv,mumble.csv,t-2.csv,skia.csv,geochat.csv
adaptagrams.csv,0.84,0.82,0.46,0.33,0.4,0.08,0.43,0.12,0.36,0.14
aime.csv,0.62,0.87,0.18,0.0,0.52,0.0,0.17,0.06,0.26,0.27
badtrinitycore.csv,0.0,0.0,0.37,0.51,0.29,0.61,0.53,0.26,0.39,0.32
electric-core.csv,0.73,0.78,0.49,0.28,0.27,0.6,0.41,0.25,0.43,0.34
geochat.csv,0.36,0.84,0.21,0.04,0.34,0.0,0.2,0.06,0.0,0.45
mumble.csv,0.7,0.87,0.27,0.12,0.4,0.55,0.73,0.18,0.4,0.39
olsrd.csv,0.75,0.81,0.4,0.32,0.27,0.29,0.52,0.23,0.52,0.3
silvertree.csv,0.7,0.65,0.42,0.23,0.17,0.69,0.48,0.21,0.5,0.26
skia.csv,0.68,0.71,0.36,0.28,0.34,0.49,0.52,0.23,0.6,0.38
t-2.csv,0.45,0.33,0.26,0.2,0.23,0.57,0.5,0.42,0.31,0.28
