,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.0,0.0,0.0,0.0,11.0,11.0,17.0,33.0,0.0,20.0,1.0,0.0
baadengine.csv,0.0,0.0,8.0,0.0,24.0,20.0,31.0,30.0,1.0,6.0,2.0,1.0
chaosrts.csv,1.0,0.0,0.0,1.0,21.0,23.0,25.0,31.0,2.0,21.0,0.0,3.0
chaperon.csv,0.0,0.0,0.0,0.0,49.0,0.0,155.0,70.0,74.0,15.0,0.0,2.0
empyrean.csv,0.0,0.0,8.0,2.0,23.0,15.0,22.0,13.0,1.0,8.0,2.0,0.0
hydrate.csv,0.0,0.0,1.0,1.0,49.0,51.0,15.0,3.0,0.0,3.0,0.0,0.0
jaxlib.csv,1.0,0.0,67.0,0.0,0.0,51.0,155.0,2.0,0.0,161.0,0.0,0.0
joustsim.csv,0.0,1.0,3.0,0.0,10.0,51.0,28.0,0.0,0.0,16.0,3.0,1.0
loki-lib.csv,1.0,0.0,10.0,0.0,14.0,7.0,14.0,15.0,0.0,7.0,0.0,0.0
owlapi.csv,6.0,1.0,7.0,0.0,49.0,51.0,0.0,10.0,4.0,6.0,0.0,1.0
pamguard.csv,1.0,0.0,0.0,0.0,14.0,16.0,17.0,40.0,3.0,20.0,2.0,2.0
poormans.csv,0.0,0.0,3.0,0.0,11.0,51.0,12.0,6.0,6.0,0.0,0.0,2.0
