,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.65,0.64,1.0,0.73,0.04,0.05,0.22,0.16,0.44,0.18,0.89,0.83
baadengine.csv,0.99,0.67,0.37,0.66,0.04,0.06,0.18,0.15,0.54,0.3,0.88,0.67
chaosrts.csv,0.85,0.6,0.42,0.67,0.04,0.06,0.19,0.15,0.45,0.28,1.0,0.64
chaperon.csv,0.86,0.83,0.38,0.93,0.0,1.0,0.0,0.0,0.0,0.2,0.87,0.67
empyrean.csv,0.82,1.0,0.4,0.68,0.04,0.04,0.19,0.22,0.41,0.3,0.88,0.69
hydrate.csv,1.0,1.0,0.35,0.67,0.0,0.0,0.26,0.4,1.0,0.69,1.0,1.0
jaxlib.csv,0.88,0.33,0.0,1.0,1.0,0.0,0.0,0.25,0.83,0.0,1.0,0.5
joustsim.csv,0.8,0.67,0.4,0.64,0.05,0.0,0.12,1.0,1.0,0.26,0.9,0.76
loki-lib.csv,0.82,0.66,0.35,0.67,0.03,0.11,0.18,0.2,1.0,0.28,0.94,0.65
owlapi.csv,0.86,0.5,0.08,1.0,0.0,0.0,1.0,0.09,0.2,0.36,0.93,0.83
pamguard.csv,0.77,0.63,0.23,1.0,0.03,0.1,0.22,0.07,0.36,0.25,0.88,0.63
poormans.csv,0.73,0.78,0.38,0.7,0.07,0.0,0.25,0.3,0.4,1.0,1.0,0.71
