,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.26,0.23,1.0,0.37,0.5,0.25,0.24,0.82,0.14,0.26,0.66,0.3
baadengine.csv,0.99,0.84,0.82,0.93,1.0,0.5,0.96,0.82,0.76,0.88,0.96,1.0
chaosrts.csv,0.75,0.77,0.95,0.83,1.0,0.5,0.84,0.91,0.79,0.82,0.99,0.97
chaperon.csv,0.13,0.07,0.14,0.24,0.0,1.0,0.0,0.0,0.0,0.15,0.09,0.12
empyrean.csv,0.72,0.93,0.73,0.54,1.0,0.25,0.84,0.73,0.41,0.97,0.86,0.55
hydrate.csv,0.22,0.07,0.32,0.37,0.0,0.0,0.4,0.18,0.1,0.26,0.09,0.97
jaxlib.csv,0.05,0.01,0.0,0.02,1.0,0.0,0.0,0.18,0.17,0.0,0.08,0.03
joustsim.csv,0.29,0.17,0.27,0.12,0.5,0.0,0.16,1.0,0.1,0.26,0.27,0.67
loki-lib.csv,0.81,0.62,0.77,0.71,0.5,0.75,0.64,0.91,0.93,0.88,0.74,0.91
owlapi.csv,0.16,0.04,0.05,0.14,0.0,0.0,0.92,0.09,0.14,0.12,0.19,0.15
pamguard.csv,0.6,0.65,0.45,1.0,0.5,0.75,0.84,0.27,0.55,0.68,0.67,0.67
poormans.csv,0.23,0.1,0.45,0.54,1.0,0.0,0.56,0.55,0.14,0.97,0.19,0.73
