,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.15,0.46,0.06,0.3,0.62,0.98,0.0,0.49,0.19,0.47,0.53,0.37,0.61,0.1,0.13,0.0
fontforge.csv,0.29,0.46,0.48,0.39,0.73,0.51,0.11,0.96,0.17,0.57,0.62,0.17,0.53,0.41,0.16,0.19
glas.csv,0.53,0.35,0.55,0.44,0.7,0.45,0.14,0.6,0.3,0.23,0.74,0.16,0.57,0.94,0.27,0.29
hannosset.csv,0.0,0.06,0.0,0.08,0.18,0.08,0.0,0.0,0.0,0.0,0.07,0.09,0.03,0.37,0.91,0.07
hatari.csv,0.53,0.45,0.93,0.41,0.66,0.47,0.0,0.16,0.22,0.56,0.67,0.12,0.43,0.22,0.09,0.2
jaolt.csv,0.58,0.44,0.5,0.52,0.72,0.55,0.08,0.6,0.3,0.65,0.83,0.14,0.99,0.38,0.08,0.18
ltp.csv,0.45,0.29,0.57,0.45,0.98,0.47,0.06,0.49,0.26,0.46,0.41,0.08,0.44,0.33,0.22,0.31
mia.csv,0.28,0.37,0.29,0.31,0.47,0.19,0.2,0.45,0.19,0.53,0.2,0.97,0.08,0.0,0.0,0.08
net-snmp.csv,1.0,0.41,0.21,0.34,0.23,0.42,0.25,0.64,0.08,0.35,0.53,0.22,0.52,0.39,0.0,0.15
opde.csv,0.62,0.56,0.61,0.92,0.77,0.53,0.08,0.54,0.26,0.49,0.71,0.15,0.7,0.3,0.17,0.18
oppna-program-hsatools.csv,0.63,0.44,0.59,0.47,0.81,0.58,0.04,0.49,0.23,0.62,0.99,0.16,0.8,0.44,0.16,0.29
powerfolder-.csv,0.17,0.97,0.23,0.2,0.06,0.29,0.67,0.57,0.37,0.34,0.36,0.12,0.34,0.0,0.0,0.07
qlc.csv,0.29,0.55,0.06,0.27,0.03,0.32,0.25,0.64,0.97,0.41,0.19,0.18,0.5,0.29,0.12,0.14
quantlib.csv,0.33,0.46,0.32,0.27,0.06,0.47,0.17,0.47,0.29,0.39,0.72,0.29,0.71,0.22,0.1,0.98
tcl.csv,0.22,0.28,0.27,0.24,0.21,0.22,0.0,0.43,0.21,0.95,0.24,0.16,0.41,0.43,0.0,0.08
