,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.92,0.57,0.97,0.8,0.62,0.03,1.04,0.65,0.8,0.77,0.64,0.52,0.56,0.95,0.75,1.0
fontforge.csv,0.82,0.67,0.72,0.73,0.72,0.7,0.31,0.08,0.77,0.59,0.62,0.66,0.65,0.69,0.74,0.86
glas.csv,0.59,0.77,0.57,0.66,0.62,0.73,0.23,0.68,0.63,0.91,0.44,0.69,0.61,0.11,0.46,0.7
hannosset.csv,1.0,0.97,1.0,0.96,0.9,0.96,1.0,1.0,1.0,1.0,0.97,0.94,0.99,0.74,0.17,0.96
hatari.csv,0.58,0.58,0.09,0.78,0.57,0.63,1.04,0.94,0.7,0.81,0.49,0.81,0.75,0.87,0.86,0.82
jaolt.csv,0.66,0.79,0.63,0.62,0.75,0.55,0.42,0.68,0.55,0.64,0.31,0.8,0.03,0.73,0.89,0.85
ltp.csv,0.68,0.81,0.58,0.63,0.05,0.69,0.58,0.63,0.64,0.67,0.76,0.89,0.75,0.77,0.5,0.68
mia.csv,0.89,0.77,0.84,0.78,0.77,0.88,0.15,0.67,0.75,0.8,0.9,0.06,0.96,1.0,1.01,0.95
net-snmp.csv,0.0,0.64,0.88,0.77,0.9,0.69,0.12,0.56,0.92,0.79,0.72,0.62,0.66,0.71,1.02,0.88
opde.csv,0.92,0.64,0.92,0.12,0.49,0.74,0.42,0.61,0.63,0.69,0.62,0.77,0.73,0.8,0.87,0.84
oppna-program-hsatools.csv,0.76,0.76,0.61,0.86,0.86,0.59,0.88,0.98,0.89,0.84,0.05,0.88,0.94,0.66,0.65,0.86
powerfolder-.csv,0.9,0.06,0.86,0.88,0.97,0.81,0.02,0.54,0.62,0.78,0.79,0.89,0.8,1.0,1.0,0.96
qlc.csv,0.83,0.46,0.97,0.81,0.98,0.78,0.12,0.48,0.06,0.72,0.9,0.67,0.66,0.92,0.75,0.89
quantlib.csv,0.79,0.58,0.8,0.81,0.98,0.83,0.19,0.8,0.61,0.78,0.93,0.45,0.84,0.86,0.85,0.04
tcl.csv,0.88,0.79,0.87,0.87,0.9,0.87,1.0,0.75,0.75,0.07,0.89,0.71,0.74,0.68,1.01,0.95
