,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.12,0.57,0.04,0.24,0.54,0.97,0.0,0.51,0.26,0.48,0.42,0.55,0.52,0.06,0.37,0.0
fontforge.csv,0.26,0.62,0.51,0.46,0.59,0.58,0.92,0.93,0.36,0.57,0.52,0.51,0.44,0.39,0.6,0.35
glas.csv,0.52,0.49,0.55,0.5,0.61,0.51,0.94,0.63,0.7,0.21,0.65,0.5,0.48,0.91,0.85,0.48
hannosset.csv,0.0,0.04,0.0,0.05,0.12,0.06,0.0,0.0,0.0,0.0,0.05,0.07,0.01,0.31,0.86,0.05
hatari.csv,0.52,0.52,0.96,0.5,0.58,0.46,0.0,0.14,0.42,0.51,0.57,0.43,0.34,0.19,0.2,0.25
jaolt.csv,0.62,0.54,0.51,0.62,0.57,0.59,0.87,0.63,0.61,0.65,0.76,0.5,0.99,0.39,0.34,0.28
ltp.csv,0.44,0.4,0.61,0.51,0.97,0.52,0.78,0.49,0.47,0.4,0.31,0.2,0.36,0.28,0.66,0.42
mia.csv,0.3,0.27,0.27,0.32,0.4,0.15,0.97,0.45,0.37,0.51,0.13,0.95,0.05,0.0,0.0,0.1
net-snmp.csv,1.0,0.5,0.17,0.28,0.18,0.37,0.97,0.7,0.13,0.32,0.42,0.48,0.42,0.36,0.0,0.2
opde.csv,0.3,0.72,0.3,0.9,0.7,0.57,0.87,0.57,0.61,0.48,0.59,0.53,0.56,0.26,0.43,0.28
oppna-program-hsatools.csv,0.59,0.56,0.63,0.46,0.44,0.65,0.41,0.22,0.4,0.48,0.98,0.4,0.27,0.45,0.51,0.46
powerfolder-.csv,0.12,0.95,0.17,0.15,0.04,0.25,1.0,0.57,0.44,0.3,0.26,0.13,0.25,0.0,0.0,0.05
qlc.csv,0.2,0.68,0.04,0.28,0.02,0.31,0.97,0.69,0.95,0.35,0.12,0.43,0.39,0.33,0.37,0.14
quantlib.csv,0.26,0.55,0.25,0.24,0.04,0.49,0.96,0.5,0.48,0.39,0.37,0.68,0.49,0.19,0.2,0.97
tcl.csv,0.2,0.3,0.27,0.27,0.16,0.2,0.0,0.46,0.32,0.95,0.17,0.42,0.31,0.44,0.0,0.1
