,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,quantlib.csv
chipster.csv,0.2,0.35,0.06,0.07,0.4,0.01,0.27,0.42,0.17,0.57,0.13,0.12,0.21,0.0,0.33,0.01
fontforge.csv,0.25,0.62,0.53,0.47,0.68,0.6,0.31,0.0,0.39,0.4,0.35,0.43,0.24,0.24,0.72,0.55
glas.csv,0.29,0.59,0.31,0.4,0.52,0.54,0.23,0.65,0.62,0.4,0.22,0.48,0.24,0.0,0.46,0.44
hannosset.csv,0.04,0.01,0.06,0.0,0.09,0.07,0.02,0.0,0.0,0.02,0.09,0.02,0.0,0.13,0.0,0.05
hatari.csv,0.27,0.27,0.08,0.64,0.37,0.26,0.29,0.35,0.34,0.75,0.13,0.59,0.28,0.22,0.22,0.22
jaolt.csv,0.59,0.77,0.36,0.53,0.71,0.34,0.42,0.65,0.38,0.6,0.17,0.66,0.03,0.33,0.59,0.4
ltp.csv,0.35,0.53,0.44,0.36,0.05,0.51,0.58,0.32,0.31,0.2,0.22,0.3,0.31,0.15,0.38,0.26
mia.csv,0.51,0.0,0.36,0.29,0.43,0.1,0.15,0.32,0.35,0.7,0.13,0.0,0.0,0.0,0.12,0.23
net-snmp.csv,0.0,0.38,0.17,0.09,0.29,0.18,0.12,0.52,0.24,0.32,0.39,0.27,0.24,0.22,0.17,0.27
opde.csv,0.92,0.64,0.92,0.02,0.41,0.68,0.42,0.45,0.54,0.42,0.48,0.66,0.66,0.15,0.87,0.37
oppna-program-hsatools.csv,0.75,0.73,0.53,0.82,0.86,0.51,0.88,0.94,0.87,0.82,0.04,0.87,0.93,0.29,0.42,0.81
powerfolder-.csv,0.02,0.0,0.06,0.04,0.08,0.17,0.02,0.29,0.11,0.25,0.13,0.07,0.03,0.05,0.09,0.04
qlc.csv,0.0,0.32,0.03,0.29,0.08,0.29,0.12,0.39,0.0,0.2,0.0,0.29,0.07,0.62,0.35,0.16
quantlib.csv,0.1,0.31,0.06,0.16,0.13,0.75,0.19,0.68,0.25,0.45,0.87,0.3,0.79,0.2,0.19,0.0
tcl.csv,0.29,0.26,0.42,0.42,0.25,0.25,0.08,0.52,0.21,0.05,0.22,0.35,0.14,0.33,0.16,0.23
