,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.35,0.59,0.23,0.26,0.32,0.54,0.91,0.18,0.16,0.41,0.57,0.6,0.5,0.67,0.35,0.12,0.42,0.31
aztec.csv,0.24,0.39,0.32,0.2,0.91,0.44,0.32,0.36,0.15,0.3,0.31,0.58,0.61,0.67,0.24,0.1,0.39,0.21
bibedt.csv,0.36,0.51,0.15,0.21,0.1,0.44,0.41,0.95,0.22,0.4,0.17,0.63,0.67,0.69,0.38,0.13,0.12,0.15
esmf.csv,0.95,0.39,0.29,0.33,0.14,0.74,0.44,0.44,0.18,0.41,0.34,0.53,0.67,0.6,0.43,0.07,0.52,0.28
irrlicht.csv,0.39,0.54,0.28,0.16,0.12,0.69,0.39,0.36,0.16,0.61,1.0,0.67,0.81,0.56,0.5,0.08,0.39,0.33
jstock.csv,0.3,0.14,0.12,0.15,0.09,0.52,0.26,0.31,0.21,0.29,0.2,0.27,0.4,0.11,0.24,0.05,1.0,0.37
kowari.csv,0.36,0.4,0.12,0.0,0.12,0.47,0.47,0.28,0.93,0.41,0.42,0.63,0.63,0.49,0.45,0.16,0.19,0.38
lportal.csv,0.27,0.33,0.26,0.0,0.09,0.46,0.17,0.17,0.09,0.33,0.56,0.38,0.39,0.16,0.28,0.91,0.31,0.24
modellus.csv,0.36,0.47,0.18,0.35,0.13,0.39,0.38,0.25,0.19,0.46,0.42,0.97,0.58,0.64,0.44,0.12,0.48,0.31
open-data-kit.csv,0.32,0.53,0.27,0.07,0.28,0.62,0.39,0.5,0.11,0.49,0.57,0.61,0.98,0.67,0.48,0.12,0.41,0.1
pentahoanalysistool.csv,0.14,0.98,0.11,0.0,0.0,0.07,0.48,0.0,0.2,0.32,0.02,0.44,0.34,0.45,0.08,0.09,0.0,0.18
phet.csv,0.29,0.2,0.95,0.16,0.14,0.47,0.13,0.34,0.12,0.33,0.7,0.33,0.6,0.37,0.41,0.03,0.34,0.29
qtractor.csv,0.37,0.47,0.2,0.31,0.3,1.0,0.41,0.33,0.1,0.54,0.57,0.7,0.58,0.62,0.39,0.16,0.42,0.21
roller.csv,0.41,0.46,0.24,0.33,0.28,0.68,0.48,0.11,0.19,0.42,0.66,0.64,0.6,0.97,0.39,0.13,0.35,0.27
sumatrapdf.csv,0.33,0.5,0.2,0.42,0.12,0.61,0.46,0.36,0.14,0.97,0.73,0.69,0.76,0.76,0.45,0.1,0.46,0.41
synergyspace.csv,0.11,0.13,0.1,0.12,0.08,0.07,0.12,0.0,0.0,0.29,0.12,0.29,0.09,0.05,0.0,0.05,0.26,0.94
ultimairis.csv,0.3,0.45,0.41,0.24,0.21,0.59,0.37,0.31,0.12,0.48,0.78,0.59,0.62,0.7,0.9,0.06,0.35,0.34
voms.csv,0.36,0.11,0.06,1.0,0.04,0.3,0.13,0.0,0.08,0.33,0.54,0.4,0.19,0.52,0.25,0.06,0.08,0.37
