,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,0.98,0.36,0.44,0.36,0.08,0.29,0.01,0.24,0.64,0.15,0.35,0.22,0.25,0.33,0.14,0.44,0.58,0.51
aztec.csv,0.25,0.53,0.59,0.53,0.0,0.29,0.69,0.32,0.4,0.36,0.37,0.44,0.5,0.59,0.12,0.51,0.28,0.43
bibedt.csv,0.28,0.49,0.3,0.12,0.05,0.17,0.39,0.0,0.12,0.24,0.14,0.27,0.16,0.12,0.15,0.28,0.05,0.11
esmf.csv,0.01,0.75,0.39,0.17,0.97,0.62,0.56,0.54,0.58,0.51,0.25,0.67,0.82,0.53,0.87,0.72,0.49,0.23
irrlicht.csv,0.72,0.56,0.7,0.71,0.91,0.75,0.79,0.76,0.94,0.6,0.0,0.67,0.36,0.59,0.62,0.88,0.74,0.5
jstock.csv,0.1,0.2,0.17,0.05,0.07,0.12,0.26,0.02,0.13,0.09,0.06,0.05,0.09,0.2,0.05,0.16,0.0,0.18
kowari.csv,0.39,0.49,0.19,0.26,0.81,0.21,0.17,0.37,0.01,0.22,0.18,0.24,0.07,0.16,0.14,0.27,0.37,0.5
lportal.csv,0.64,0.56,0.28,0.0,0.82,0.5,0.36,0.29,0.18,0.45,0.59,0.38,0.45,0.27,0.38,0.0,0.47,0.55
modellus.csv,0.52,0.32,0.25,0.08,0.06,0.21,0.36,0.1,0.15,0.55,0.25,0.0,0.16,0.43,0.06,0.33,0.14,0.28
open-data-kit.csv,0.37,0.53,0.5,0.26,0.15,0.42,0.75,0.27,0.33,0.11,0.27,0.43,0.0,0.41,0.21,0.47,0.23,0.32
pentahoanalysistool.csv,0.05,0.0,0.18,0.02,0.0,0.0,0.07,0.0,0.03,0.02,0.02,0.1,0.18,0.14,0.0,0.11,0.09,0.14
phet.csv,0.83,0.59,0.0,0.71,0.97,1.0,0.31,0.93,0.12,0.91,0.8,0.71,0.86,0.25,0.98,0.24,0.93,0.7
qtractor.csv,0.19,0.42,0.41,0.2,0.09,0.0,0.32,0.12,0.15,0.07,0.27,0.24,0.09,0.2,0.22,0.33,0.05,0.26
roller.csv,0.58,0.44,0.38,0.39,0.11,0.12,0.31,0.17,0.51,0.67,0.61,0.4,0.25,0.02,0.66,0.42,0.35,0.25
sumatrapdf.csv,0.37,0.51,0.61,0.09,0.27,0.46,0.48,0.32,0.77,0.02,0.49,0.26,0.34,0.71,0.27,0.66,0.16,0.37
synergyspace.csv,0.02,0.02,0.13,0.11,0.0,0.0,0.05,0.15,0.08,0.07,0.04,0.08,0.11,0.0,0.01,0.09,0.16,0.01
ultimairis.csv,0.84,0.83,0.71,0.86,0.29,0.62,0.88,0.56,0.69,0.64,0.88,0.6,0.59,0.94,0.01,0.85,0.7,0.92
voms.csv,0.1,0.12,0.14,0.0,0.08,0.0,0.02,0.24,0.21,0.07,0.43,0.03,0.05,0.16,0.41,0.14,0.23,0.14
