,esmf.csv,pentahoanalysistool.csv,phet.csv,voms.csv,aztec.csv,qtractor.csv,acegisecurity.csv,bibedt.csv,kowari.csv,sumatrapdf.csv,irrlicht.csv,modellus.csv,open-data-kit.csv,roller.csv,ultimairis.csv,lportal.csv,jstock.csv,synergyspace.csv
acegisecurity.csv,1.0,0.74,0.32,0.56,0.38,0.46,0.85,0.2,0.71,0.32,0.44,0.52,0.38,0.61,0.28,0.72,0.77,0.54
aztec.csv,0.27,0.52,0.55,0.56,0.83,0.36,0.52,0.5,0.43,0.29,0.2,0.59,0.57,0.71,0.17,0.68,0.46,0.31
bibedt.csv,0.45,0.7,0.16,0.22,0.08,0.32,0.52,0.9,0.29,0.35,0.1,0.58,0.55,0.57,0.32,0.51,0.08,0.12
esmf.csv,0.94,0.63,0.38,0.44,1.0,0.89,0.7,0.9,0.71,0.48,0.22,0.6,0.74,0.59,0.79,0.66,0.92,0.31
irrlicht.csv,0.91,0.81,0.52,0.56,0.75,0.86,0.75,0.9,1.0,0.9,1.0,0.84,0.83,0.55,0.79,0.9,0.85,0.58
jstock.csv,0.24,0.11,0.1,0.11,0.08,0.39,0.25,0.2,0.29,0.19,0.12,0.16,0.26,0.07,0.15,0.11,1.0,0.38
kowari.csv,0.55,0.52,0.1,0.0,0.71,0.36,0.45,0.4,1.0,0.35,0.28,0.57,0.47,0.36,0.38,0.65,0.23,0.69
lportal.csv,0.55,0.44,0.28,0.0,0.5,0.43,0.18,0.2,0.14,0.35,0.46,0.33,0.3,0.11,0.3,0.85,0.46,0.42
modellus.csv,0.67,0.52,0.17,0.33,0.12,0.29,0.45,0.2,0.29,0.58,0.29,0.94,0.45,0.61,0.32,0.56,0.46,0.38
open-data-kit.csv,0.45,0.78,0.41,0.11,0.46,0.61,0.72,0.7,0.29,0.39,0.43,0.63,0.96,0.64,0.47,0.76,0.46,0.12
pentahoanalysistool.csv,0.09,0.96,0.09,0.0,0.0,0.04,0.38,0.0,0.14,0.19,0.01,0.31,0.22,0.32,0.04,0.16,0.0,0.15
phet.csv,0.7,0.26,0.9,0.56,1.0,0.57,0.12,1.0,0.14,0.52,0.67,0.34,0.64,0.27,0.81,0.1,0.85,0.62
qtractor.csv,0.39,0.59,0.26,0.44,0.38,1.0,0.48,0.3,0.14,0.42,0.43,0.66,0.43,0.51,0.36,0.74,0.31,0.23
roller.csv,0.85,0.59,0.3,0.78,0.38,0.57,0.57,0.1,0.71,0.58,0.58,0.66,0.49,0.95,0.6,0.73,0.46,0.31
sumatrapdf.csv,0.48,0.7,0.33,0.44,0.29,0.61,0.68,0.5,0.71,0.97,0.66,0.66,0.74,0.91,0.47,0.91,0.46,0.62
synergyspace.csv,0.06,0.07,0.07,0.11,0.04,0.04,0.08,0.0,0.0,0.19,0.06,0.19,0.05,0.03,0.0,0.07,0.23,0.92
ultimairis.csv,0.76,0.81,0.84,1.0,0.54,0.64,0.75,0.6,0.57,0.68,0.81,0.67,0.61,0.88,0.83,0.65,0.69,0.92
voms.csv,0.3,0.07,0.04,1.0,0.04,0.18,0.08,0.0,0.14,0.23,0.42,0.26,0.11,0.39,0.28,0.14,0.08,0.35
