,selenium.csv,pcgen.csv,autoopencas.csv,tolven.csv,nabu-library.csv
autoopencas.csv,0.96,0.85,0.93,0.98,0.95
nabu-library.csv,0.57,0.7,0.45,0.54,0.59
pcgen.csv,0.56,0.53,0.62,0.5,0.8
selenium.csv,0.51,0.41,0.4,0.31,0.66
tolven.csv,0.93,0.58,0.91,0.59,0.93
