,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,popeye-chess.csv,blue-c.csv,mscore.csv,openmalaria.csv,riff-evolve.csv,archive-crawler.csv,all-plasm.csv,virtuoso.csv
all-plasm.csv,0.45,0.46,0.64,0.0,0.27,0.77,0.3,0.56,0.57,0.57,0.75,0.36
archive-crawler.csv,0.45,0.37,0.48,0.07,0.77,0.77,0.6,0.52,0.58,0.63,0.58,0.28
blue-c.csv,0.61,0.55,0.53,0.0,0.69,0.81,0.6,0.59,0.52,0.54,0.79,0.33
dynalloy.csv,0.41,0.8,0.43,0.14,0.45,0.51,0.49,0.43,0.62,0.61,0.71,0.45
jcae.csv,0.49,0.27,0.87,0.07,0.39,0.64,0.34,0.41,0.31,0.59,0.38,0.43
kmatplot.csv,0.73,0.37,0.68,0.24,0.0,0.76,0.34,0.3,0.35,0.6,0.53,0.13
mscore.csv,0.54,0.17,0.13,0.14,0.82,0.81,0.71,0.72,0.66,0.6,0.13,0.47
nosleepsoftware.csv,0.09,0.0,0.0,0.71,0.0,0.04,0.36,0.09,0.02,0.26,0.0,0.02
openmalaria.csv,0.73,0.52,0.3,0.53,0.66,0.7,0.71,0.71,0.65,0.61,0.13,0.58
popeye-chess.csv,0.61,0.46,0.62,0.28,0.68,0.64,0.65,0.64,0.64,0.66,0.53,0.48
riff-evolve.csv,0.67,0.51,0.64,0.0,0.68,0.42,0.43,0.38,0.69,0.46,0.57,0.71
virtuoso.csv,0.6,0.13,0.05,0.0,0.64,0.0,0.55,0.24,0.24,0.49,0.46,0.5
