,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.74,0.77,0.68,0.89,0.49,0.13,0.39,0.33,0.46,0.5,0.6,0.9
gamestone.csv,0.02,0.12,0.15,0.29,0.19,0.0,0.41,0.16,0.38,0.21,0.1,0.59
gbif-providertoolkit.csv,0.79,0.21,0.38,0.29,0.27,0.04,0.2,0.36,0.27,0.4,0.6,0.12
heekscad.csv,0.26,0.23,0.34,0.46,0.54,0.26,0.63,0.27,0.38,0.63,0.6,0.57
igarden.csv,0.3,0.33,0.24,0.31,0.3,0.22,0.33,0.22,0.12,0.38,0.2,0.7
levent.csv,0.79,0.4,0.32,0.26,0.61,0.35,0.37,0.23,0.04,0.13,0.7,0.03
libmesh.csv,0.85,0.12,0.68,0.54,0.27,0.0,0.43,0.74,0.38,0.21,0.8,0.12
openmsx.csv,0.89,0.85,0.42,0.79,0.48,0.61,0.59,0.34,0.62,0.17,0.6,0.07
pnotepad.csv,0.19,0.65,0.72,0.97,0.84,0.48,0.61,0.66,0.58,1.0,0.0,0.86
quark.csv,0.02,0.02,0.03,0.0,0.09,0.0,0.15,0.03,0.0,0.21,0.0,0.42
tango-cs.csv,0.72,0.38,0.69,0.79,0.82,0.52,0.24,0.66,0.58,1.0,0.6,0.32
xcsoar.csv,0.23,0.15,0.23,0.5,0.42,0.26,0.41,0.4,0.31,1.0,0.0,0.46
