,f1,g,recall,precision,pf,wins
doomlegacy.csv,0.51,0.5549999999999999,0.735,0.44,0.55,8
gamestone.csv,0.20500000000000002,0.21000000000000002,0.175,0.385,0.175,0
gbif-providertoolkit.csv,0.4,0.41500000000000004,0.4,0.47,0.28,5
heekscad.csv,0.53,0.645,0.665,0.51,0.42000000000000004,11
igarden.csv,0.495,0.5700000000000001,0.58,0.505,0.3,10
levent.csv,0.38,0.43,0.41500000000000004,0.51,0.33499999999999996,4
libmesh.csv,0.32,0.35,0.355,0.35,0.405,1
openmsx.csv,0.4,0.485,0.595,0.405,0.595,3
pnotepad.csv,0.5349999999999999,0.585,0.835,0.4,0.655,9
quark.csv,0.19,0.16,0.13,0.6950000000000001,0.025,2
tango-cs.csv,0.475,0.535,0.65,0.41500000000000004,0.63,6
xcsoar.csv,0.43000000000000005,0.47,0.515,0.41500000000000004,0.355,7
