,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.6,0.52,0.65,0.37,0.66,0.44,0.45,0.49,0.68,0.79,0.59,0.34
gamestone.csv,0.07,0.88,0.17,0.43,0.25,0.0,0.3,0.17,0.42,0.1,0.07,0.54
gbif-providertoolkit.csv,0.48,0.0,0.52,0.3,0.66,0.07,0.61,0.43,0.13,0.62,0.4,0.13
heekscad.csv,0.75,0.65,0.7,0.59,0.64,0.53,0.55,0.52,0.45,0.75,0.68,0.67
igarden.csv,0.65,0.53,0.47,0.68,0.59,0.62,0.45,0.39,0.3,0.89,0.65,0.55
levent.csv,0.51,0.14,0.48,0.33,0.69,0.71,0.65,0.2,0.07,0.43,0.43,0.09
libmesh.csv,0.4,0.0,0.35,0.37,0.47,0.0,0.77,0.54,0.32,0.1,0.35,0.19
openmsx.csv,0.37,0.45,0.33,0.54,0.61,0.52,0.56,0.57,0.57,0.18,0.25,0.11
pnotepad.csv,0.61,0.68,0.62,0.13,0.44,0.6,0.57,0.47,0.64,0.0,0.92,0.44
quark.csv,0.35,0.15,0.34,0.04,0.17,0.02,0.05,0.04,0.02,0.84,0.18,0.36
tango-cs.csv,0.55,0.62,0.57,0.52,0.47,0.61,0.14,0.5,0.59,0.0,0.38,0.6
xcsoar.csv,0.67,0.29,0.72,0.61,0.68,0.41,0.3,0.41,0.53,0.0,0.29,0.53
