,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,0.73,0.67,0.88,0.83,0.5,0.41,0.0,0.6,0.8,0.72,0.52,0.37,0.56,0.56,0.61,0.69,0.59,0.7,0.53,0.84
aubit4gl.csv,0.75,0.92,0.91,0.89,0.47,0.71,0.95,0.95,0.0,0.92,0.68,0.76,0.0,0.94,0.78,0.82,0.69,0.96,0.84,0.97
bionote.csv,0.56,0.57,0.55,0.0,0.81,0.44,0.43,0.93,0.5,0.0,0.8,0.28,0.0,0.79,0.0,0.59,0.83,0.61,0.61,0.6
bullet.csv,0.5,0.41,0.48,0.67,0.36,0.38,0.68,0.64,0.45,0.35,0.43,0.47,0.64,0.49,0.86,0.37,0.63,0.58,0.42,0.48
customwars.csv,0.42,0.36,0.38,0.61,0.31,0.4,0.35,0.49,0.5,0.48,0.53,0.29,0.0,0.43,0.8,0.57,0.77,0.41,0.35,0.47
findbugs.csv,0.41,0.52,0.41,0.0,0.44,0.4,0.72,0.4,0.55,0.46,0.38,0.32,0.36,0.48,0.45,0.49,0.47,0.48,0.59,0.55
frogatto.csv,0.4,0.38,0.42,0.73,0.33,0.31,0.36,0.34,0.42,0.67,0.42,0.28,0.67,0.44,0.39,0.37,0.55,0.37,0.32,0.37
grisbi.csv,0.39,0.41,0.39,0.81,0.33,0.35,0.4,0.34,0.41,0.42,0.39,0.33,0.36,0.48,0.5,0.38,0.41,0.46,0.3,0.36
lsb.csv,0.47,0.42,0.42,0.56,0.4,0.49,0.61,0.36,0.49,0.58,0.62,0.74,0.86,0.52,0.56,0.5,0.73,0.52,0.35,0.43
oscarmcmaster.csv,0.43,0.83,0.5,0.71,0.52,0.39,0.8,0.39,0.75,0.9,0.44,0.3,0.43,0.51,0.38,0.47,0.49,0.49,0.36,0.47
plearn.csv,0.53,0.53,0.55,0.95,0.83,0.57,0.91,0.51,0.57,0.87,0.55,0.46,0.49,0.53,0.45,0.89,0.52,0.67,0.69,0.68
psrchive.csv,0.53,0.91,0.58,0.73,0.41,0.49,0.54,0.59,0.8,0.81,0.61,0.33,0.92,0.56,0.64,0.82,0.51,0.62,0.75,0.69
re2c.csv,0.77,0.86,0.54,0.65,0.9,0.78,0.88,0.45,0.86,0.36,0.4,0.89,0.39,0.55,0.42,0.53,0.59,0.91,0.58,0.74
rebecca-aiml.csv,0.52,0.5,0.37,0.59,0.32,0.34,0.9,0.33,0.46,0.36,0.41,0.35,0.42,0.4,0.43,0.34,0.61,0.53,0.32,0.4
rtrt-on-gpu.csv,0.66,0.45,0.51,0.68,0.43,0.56,0.46,0.96,0.85,0.64,0.68,0.56,0.82,0.91,0.57,0.58,0.57,0.73,0.59,0.56
stemkit.csv,0.96,0.59,0.89,0.67,0.38,0.59,0.44,0.68,0.86,0.63,0.78,0.58,0.66,0.93,0.8,0.4,0.88,0.78,0.6,0.78
tcvp.csv,0.0,0.0,0.9,0.73,0.5,0.0,0.0,0.75,0.0,0.47,0.79,0.0,0.65,0.85,0.6,0.67,0.91,0.5,0.83,0.97
tktoolkit.csv,0.56,0.57,0.46,0.56,0.34,0.41,0.66,0.36,0.48,0.35,0.43,0.43,0.32,0.53,0.45,0.36,0.62,0.45,0.32,0.39
tycho.csv,0.62,0.89,0.62,0.98,0.92,0.66,0.95,0.49,0.8,0.65,0.61,0.45,0.47,0.48,0.5,0.93,0.68,0.87,0.61,0.88
xstore.csv,0.71,0.89,0.43,0.6,0.35,0.49,0.38,0.39,0.63,0.38,0.43,0.47,0.4,0.44,0.42,0.44,0.49,0.46,0.39,0.48
