,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.26,0.19,0.5,0.82,1.0,0.33
fluent-nhibernate.csv,0.25,0.38,0.32,0.47,1.0,0.33
h2database.csv,0.19,0.3,0.44,0.59,0.96,0.29
jaql.csv,0.19,0.21,0.46,0.62,1.0,0.29
raven-monitoring.csv,0.1,0.09,0.68,0.44,0.98,0.1
v8.csv,0.03,0.18,0.35,0.33,0.99,0.1
