,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,v8.csv,fluent-nhibernate.csv
encog-java.csv,0.39,0.91,0.94,0.81,0.97,0.88
fluent-nhibernate.csv,0.67,0.76,0.83,0.66,0.78,0.2
h2database.csv,0.52,0.39,0.89,0.44,0.89,0.27
jaql.csv,0.5,0.55,0.71,0.45,0.8,0.34
raven-monitoring.csv,0.84,0.83,0.37,0.72,0.78,0.69
v8.csv,0.97,0.61,0.88,0.88,0.23,0.67
