,jmoney.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jmonkeyengine.csv,e-bio-flow.csv,matrex.csv,reaper3d.csv
dxengine.csv,0.57,0.38,0.97,0.48,0.77,0.89,0.8,0.6,0.54
e-bio-flow.csv,0.89,0.97,0.48,0.86,0.58,0.66,0.43,0.98,0.72
jmoney.csv,0.2,0.55,0.42,0.81,0.63,0.77,0.8,0.79,0.54
jmonkeyengine.csv,0.94,0.72,0.84,0.49,0.6,0.35,0.77,0.91,0.83
jsidplay2.csv,0.71,0.94,0.31,0.86,0.93,0.92,0.77,0.66,0.8
matrex.csv,0.37,0.7,0.66,0.37,0.72,0.95,0.71,0.23,1.0
piccolo2d.csv,0.36,0.82,0.63,0.66,0.29,0.7,0.62,0.48,0.88
reaper3d.csv,0.47,0.51,0.61,0.5,0.81,0.77,0.76,0.8,0.35
sblim.csv,0.92,0.74,0.97,0.23,0.62,0.78,0.85,0.94,0.91
