,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,0.2,0.06,0.43,0.21,0.06,0.24,0.09,0.21,0.13,0.24,0.37,0.53,0.53,0.79,0.17
fmri-dmt.csv,0.09,0.06,0.4,0.24,0.0,0.34,0.46,0.23,0.15,0.24,0.56,0.4,0.36,0.43,0.22
ftm.csv,0.29,0.11,0.36,0.51,0.06,0.47,0.21,0.28,0.38,0.15,0.41,0.47,0.68,0.25,0.19
fulguro.csv,0.12,0.0,0.4,0.29,0.02,0.18,0.14,0.4,0.0,0.31,0.65,0.14,0.35,0.18,0.24
gss.csv,0.15,0.1,0.48,0.5,0.02,0.44,0.14,0.32,0.33,0.4,0.79,0.62,0.62,0.52,0.29
illumination.csv,0.0,0.0,0.0,0.0,0.02,0.39,0.19,0.26,0.0,0.72,0.74,0.0,0.0,0.4,0.0
ldview.csv,0.14,0.09,0.6,0.49,0.02,0.42,0.19,0.22,0.31,0.36,0.72,0.59,0.27,0.41,0.28
monetdb.csv,0.24,0.14,0.43,0.62,0.06,0.33,0.11,0.31,0.51,0.32,0.55,0.51,0.57,0.42,0.11
netatalk.csv,0.18,0.12,0.49,0.47,0.02,0.48,0.15,0.34,0.34,0.33,0.66,0.65,0.63,0.45,0.2
olex2.csv,0.25,0.09,0.0,0.1,0.03,0.4,0.29,0.23,0.18,0.15,0.41,0.7,0.63,0.37,0.0
qpe.csv,0.28,0.1,0.39,0.51,0.0,0.58,0.18,0.22,0.44,0.33,0.75,0.33,0.35,0.0,0.2
quark.csv,0.26,0.07,0.28,0.46,0.0,0.35,0.0,0.17,0.61,0.0,0.18,0.25,0.56,0.11,0.09
sepgsql.csv,0.27,0.2,0.5,0.54,0.09,0.52,0.1,0.2,0.5,0.19,0.55,0.56,0.58,0.46,0.18
synergyspace.csv,0.11,0.11,0.0,0.22,0.02,0.1,0.17,0.5,0.08,0.18,0.52,0.11,0.09,0.04,0.12
