,qpe.csv,sepgsql.csv,ldview.csv,monetdb.csv,xpontus.csv,netatalk.csv,fmri-dmt.csv,synergyspace.csv,quark.csv,illumination.csv,gss.csv,olex2.csv,ftm.csv,arm-webradio.csv,fulguro.csv
arm-webradio.csv,99.0,10530.0,271.5,197.5,1873.0,263.0,269.5,186.0,344.5,384.0,196.0,98.5,295.0,98.5,1113.5
fmri-dmt.csv,99.0,17484.0,345.0,284.0,3811.5,287.0,98.5,581.5,191.0,483.0,196.0,98.5,194.0,98.5,1370.0
ftm.csv,99.0,14293.0,188.0,98.5,1419.0,359.0,98.5,496.0,289.5,172.0,91.5,98.5,97.5,92.5,338.0
fulguro.csv,99.0,0.0,91.5,192.0,4739.0,269.5,191.0,292.5,247.5,190.0,196.0,334.0,611.0,282.5,680.0
gss.csv,99.0,16414.0,283.5,197.5,4515.0,380.5,98.5,292.5,289.5,287.5,187.0,98.5,295.0,98.5,509.0
illumination.csv,0.0,0.0,0.0,0.0,5017.5,281.5,98.5,292.5,0.0,289.0,187.0,0.0,0.0,98.5,13.5
ldview.csv,99.0,23365.5,188.0,197.5,3603.5,380.5,98.5,195.0,289.5,483.0,97.5,97.5,94.5,98.5,688.0
monetdb.csv,99.0,5501.0,283.5,98.5,1935.5,179.0,98.5,477.5,191.0,289.0,91.5,98.5,192.0,98.5,1058.0
netatalk.csv,99.0,15567.0,188.0,98.5,4582.0,359.0,98.5,292.5,289.5,384.0,196.0,98.5,295.0,98.5,1353.0
olex2.csv,99.0,20990.5,11.5,98.5,3431.0,242.5,98.5,761.5,191.0,286.5,175.0,98.5,295.0,98.5,162.5
qpe.csv,99.0,14825.0,188.0,289.5,1301.5,188.0,98.5,292.5,289.5,271.0,85.5,93.5,94.5,1501.0,584.5
quark.csv,98.5,26.5,188.0,88.5,562.0,79.5,245.5,237.5,191.0,30.5,49.5,93.5,192.0,86.5,211.5
sepgsql.csv,99.0,7230.0,188.0,98.5,1270.5,91.5,98.5,630.0,289.5,190.0,91.5,98.5,295.0,97.5,1452.5
synergyspace.csv,99.0,6622.5,104.0,95.5,3953.5,95.0,191.0,272.5,304.0,354.5,91.5,89.5,57.5,58.5,72.5
