,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.91,0.18,0.5,0.08,0.05,0.0,0.15,0.08,0.06,0.0
h2database.csv,0.17,0.98,0.05,0.19,0.28,0.06,0.52,0.31,0.29,0.09
hannosset.csv,0.08,0.1,0.15,0.15,0.08,1.0,0.18,0.02,0.09,0.11
jaql.csv,0.3,0.34,0.44,0.97,0.51,0.23,0.49,0.55,0.27,0.05
megameknet.csv,0.23,0.27,0.33,0.48,0.93,0.0,0.61,0.44,0.36,0.17
ngl.csv,0.28,0.28,0.45,0.53,0.49,0.09,0.67,0.99,0.5,0.06
qedo.csv,0.13,0.08,0.29,0.14,0.07,0.0,0.24,0.15,0.27,1.0
qmmp.csv,0.26,0.32,0.43,0.49,0.4,0.16,0.76,0.65,0.97,0.09
raven-monitoring.csv,0.18,0.18,0.97,0.39,0.18,0.04,0.62,0.4,0.34,0.14
v8.csv,0.18,0.25,0.55,0.56,0.45,0.23,1.0,0.68,0.64,0.13
