,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.16,0.89,0.67,0.96,0.97,1.0,0.92,0.96,0.97,1.0
h2database.csv,0.87,0.02,0.98,0.89,0.83,0.91,0.75,0.83,0.87,0.84
hannosset.csv,0.92,0.93,0.92,0.91,0.96,0.0,0.9,0.99,0.95,0.91
jaql.csv,0.5,0.49,0.66,0.04,0.43,0.51,0.68,0.72,0.86,0.95
megameknet.csv,0.65,0.57,0.78,0.63,0.13,1.16,1.0,0.72,0.87,0.63
ngl.csv,0.55,0.55,0.67,0.57,0.48,0.86,0.62,0.02,0.74,1.02
qedo.csv,0.91,0.93,0.83,0.92,0.96,1.0,0.91,0.92,0.87,0.0
qmmp.csv,0.62,0.53,0.7,0.61,0.76,0.66,0.78,0.7,0.05,0.95
raven-monitoring.csv,0.74,0.76,0.06,0.71,0.86,1.05,0.76,0.87,0.96,0.83
v8.csv,0.8,0.75,0.98,0.87,0.52,0.49,0.0,1.0,0.95,0.93
