,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,1.0,0.43,0.43,0.8,0.33,0.0,0.94,0.35,0.67,0.0
h2database.csv,0.24,0.98,0.12,0.71,0.71,0.04,0.94,0.47,0.37,0.06
hannosset.csv,0.07,0.15,0.6,0.36,0.33,1.0,1.0,0.17,0.6,0.14
jaql.csv,0.19,0.24,0.5,0.99,0.42,0.13,0.99,0.54,0.38,0.03
megameknet.csv,0.15,0.17,0.62,0.58,1.0,0.0,0.9,0.55,0.38,0.11
ngl.csv,0.17,0.18,0.44,0.49,0.43,0.05,0.95,0.99,0.49,0.03
qedo.csv,0.2,0.08,0.86,0.33,0.14,0.0,0.88,0.65,0.37,1.0
qmmp.csv,0.16,0.2,0.41,0.49,0.26,0.09,0.94,0.57,0.98,0.05
raven-monitoring.csv,0.12,0.12,1.0,0.47,0.2,0.02,0.93,0.42,0.33,0.11
v8.csv,0.1,0.15,0.39,0.4,0.32,0.14,1.0,0.53,0.5,0.07
