,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.87,0.13,0.57,0.05,0.04,0.0,0.1,0.06,0.04,0.0
h2database.csv,0.17,0.98,0.04,0.13,0.2,0.2,0.39,0.27,0.27,0.3
hannosset.csv,0.11,0.1,0.11,0.12,0.05,1.0,0.12,0.01,0.06,0.11
jaql.csv,0.64,0.61,0.44,0.97,0.67,0.74,0.38,0.54,0.24,0.11
megameknet.csv,0.46,0.61,0.27,0.45,0.89,0.0,0.33,0.4,0.36,0.52
ngl.csv,0.69,0.62,0.49,0.59,0.61,0.35,0.53,0.98,0.5,0.27
qedo.csv,0.11,0.1,0.2,0.11,0.05,0.0,0.17,0.11,0.24,1.0
qmmp.csv,0.68,0.75,0.48,0.51,0.59,0.6,0.53,0.6,0.96,0.38
raven-monitoring.csv,0.38,0.34,0.95,0.37,0.19,0.19,0.47,0.39,0.34,0.21
v8.csv,0.51,0.6,0.09,0.41,0.69,0.66,1.0,0.0,0.21,0.33
