,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.97,0.93,0.59,0.8,0.83,0.8,0.94,0.96,0.67,0.89
h2database.csv,0.96,0.98,0.88,0.93,0.94,0.63,0.71,0.89,0.9,0.7
hannosset.csv,0.98,0.96,0.8,0.96,0.89,0.83,0.95,0.92,0.8,0.93
jaql.csv,0.48,0.56,0.54,0.57,0.48,0.47,0.65,0.55,0.97,0.62
megameknet.csv,0.62,0.45,0.85,0.64,0.72,0.55,0.6,0.82,0.67,0.55
ngl.csv,0.39,0.47,0.47,0.49,0.55,0.4,0.57,0.56,0.51,0.49
qedo.csv,0.95,0.98,0.86,0.96,0.95,0.0,0.97,0.96,0.89,0.95
qmmp.csv,0.45,0.44,0.46,0.51,0.55,0.44,0.5,0.47,0.52,0.44
raven-monitoring.csv,0.73,0.84,0.64,0.7,0.81,0.56,0.7,0.73,0.67,0.97
v8.csv,0.52,0.39,0.37,0.38,0.48,0.79,0.44,0.46,0.44,0.49
