,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,megameknet.csv,hannosset.csv,v8.csv,ngl.csv,qmmp.csv,qedo.csv
encog-java.csv,0.84,0.11,0.6,0.04,0.03,0.0,0.08,0.05,0.03,0.0
h2database.csv,0.14,0.98,0.03,0.11,0.17,0.17,0.36,0.23,0.24,0.27
hannosset.csv,0.09,0.08,0.09,0.1,0.04,1.0,0.1,0.01,0.05,0.09
jaql.csv,0.64,0.58,0.4,0.96,0.65,0.83,0.33,0.58,0.21,0.09
megameknet.csv,0.43,0.62,0.23,0.4,0.87,0.0,0.46,0.37,0.35,0.5
ngl.csv,0.75,0.62,0.46,0.59,0.58,0.33,0.51,0.98,0.52,0.27
qedo.csv,0.09,0.08,0.17,0.09,0.04,0.0,0.14,0.09,0.21,1.0
qmmp.csv,0.82,0.87,0.46,0.48,0.9,0.67,0.64,0.75,0.95,0.45
raven-monitoring.csv,0.34,0.3,0.94,0.33,0.16,0.17,0.47,0.39,0.35,0.18
v8.csv,0.61,0.89,0.94,0.91,0.74,0.67,1.0,0.96,0.92,0.77
