,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.3,0.31,0.46,0.29,0.97,0.32,0.51,0.34,0.24,0.24,0.11,0.23,0.38,0.11,0.17,0.49,0.28,0.37
autofac.csv,0.71,0.56,0.78,0.96,0.5,0.52,0.48,0.43,0.49,0.24,0.1,0.44,0.78,0.24,0.47,0.57,0.76,0.7
azureus.csv,0.26,0.57,0.36,0.34,0.23,0.2,0.46,0.32,0.18,0.25,0.31,0.94,0.42,0.0,0.37,0.43,0.6,0.25
dsworkbench.csv,0.48,0.43,1.0,0.12,0.25,0.44,0.33,0.38,0.37,0.14,0.13,0.31,0.51,0.3,0.4,0.29,0.42,0.35
forester-atv.csv,0.0,1.0,0.0,0.18,0.06,0.05,0.29,0.1,0.17,0.12,0.0,0.07,0.08,0.0,0.21,0.0,0.11,0.08
freelords.csv,0.77,0.51,0.72,0.68,0.6,0.99,0.39,0.48,0.65,0.19,0.31,0.44,0.77,0.17,0.43,0.7,0.82,0.59
gabel.csv,0.0,0.07,0.0,0.13,0.0,0.0,0.21,0.0,0.0,1.0,0.0,0.07,0.09,0.0,0.0,0.0,0.01,0.05
gephex.csv,0.6,0.42,0.84,0.26,0.59,0.53,0.47,0.38,0.0,0.22,0.11,0.51,0.47,0.24,0.38,0.99,0.46,0.33
google-collections.csv,1.0,0.57,0.86,0.64,0.71,0.85,0.45,0.51,0.56,0.15,0.32,0.41,0.9,0.22,0.42,0.78,0.98,0.81
javaprofiler.csv,0.59,0.59,0.64,0.41,0.63,0.7,0.53,0.4,0.29,0.21,0.27,0.45,0.67,0.28,0.46,0.63,0.69,1.0
jpaul.csv,0.42,0.44,0.55,0.57,0.2,0.23,1.0,0.31,0.18,0.3,0.0,0.52,0.4,0.27,0.33,0.13,0.31,0.25
mycila.csv,0.51,0.14,0.29,0.33,0.33,0.33,0.09,0.34,0.26,0.17,1.0,0.1,0.35,0.0,0.09,0.31,0.57,0.24
neodatis-odb.csv,0.33,0.51,0.39,0.44,0.26,0.31,0.26,0.97,0.33,0.06,0.0,0.23,0.46,0.19,0.17,0.27,0.53,0.56
octet.csv,0.41,0.42,0.36,0.23,0.39,0.21,0.0,0.41,0.26,0.31,0.0,0.35,0.34,0.92,0.17,0.36,0.21,0.25
personalaccess.csv,0.76,0.6,0.87,0.57,0.46,0.76,0.53,0.33,0.57,0.17,0.36,0.41,0.99,0.24,0.43,0.3,0.67,0.51
rcp-company-uibindings.csv,0.92,0.53,0.87,0.61,0.71,0.85,0.49,0.51,0.53,0.17,0.32,0.44,0.88,0.2,0.5,0.78,1.0,0.74
scenemonitor.csv,0.61,0.59,0.71,0.67,0.5,0.69,0.45,0.5,0.97,0.25,0.26,0.46,0.75,0.23,0.49,0.52,0.8,0.67
servicestack.csv,0.73,0.52,0.62,0.66,0.61,0.42,0.5,0.42,0.52,0.26,0.3,0.45,0.74,0.16,1.0,0.53,0.81,0.67
