,qgo.csv,dynalloy.csv,firebird.csv,nosleepsoftware.csv,yield.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,hydrogen.csv,openmalaria.csv,all-plasm.csv,xmoto.csv
all-plasm.csv,0.53,0.27,0.32,0.0,0.33,0.29,0.51,0.5,0.06,0.43,0.76,0.42
blue-c.csv,0.63,0.92,0.58,0.0,0.86,0.94,0.68,0.8,0.94,0.69,0.9,0.75
cities3d.csv,0.77,0.25,0.16,0.62,0.11,0.03,0.73,0.5,0.38,0.02,0.33,0.03
dynalloy.csv,0.53,0.81,0.44,0.06,0.78,0.8,0.76,0.47,0.75,0.64,0.81,0.56
firebird.csv,0.5,0.42,0.56,0.06,0.51,0.89,0.81,0.4,0.62,0.48,0.67,0.53
hydrogen.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,0.0,0.0,1.0
nosleepsoftware.csv,0.27,0.04,0.19,0.69,0.08,0.0,0.08,0.03,0.0,0.07,0.0,0.06
openmalaria.csv,0.73,0.44,0.74,0.62,0.33,0.51,0.7,0.67,0.75,0.71,0.95,0.67
popeye-chess.csv,0.57,0.31,0.43,0.12,0.7,0.66,0.49,0.6,0.69,0.48,0.76,0.56
qgo.csv,0.9,0.5,0.86,0.69,0.65,0.74,0.92,0.7,0.75,0.88,0.81,0.81
xmoto.csv,0.07,0.48,0.47,0.56,0.62,0.63,0.38,0.57,0.69,0.67,0.33,0.67
yield.csv,0.8,0.94,0.8,0.69,0.71,0.91,1.0,0.73,0.88,0.76,0.67,0.75
