,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.07,0.65,0.04,0.3,0.24,0.75,0.21,0.45,0.08,0.63,0.16,0.89,0.38,0.34,0.07,0.4
fleet-simulator.csv,0.06,0.7,0.08,0.96,0.51,0.75,0.52,0.54,0.07,0.55,0.29,0.98,0.43,0.4,0.35,0.81
geogebra.csv,0.07,0.71,0.09,0.24,0.47,0.16,0.46,0.41,0.08,0.62,0.27,0.52,0.41,0.49,0.09,0.74
gtad.csv,0.24,0.23,0.09,0.17,0.51,0.42,0.56,0.47,0.0,0.5,0.15,0.5,0.39,0.36,0.12,0.58
hibernate.csv,0.1,0.22,0.0,0.36,0.5,0.76,0.51,0.57,0.11,0.38,0.27,0.48,0.5,0.45,0.28,0.62
ipfire-wall.csv,0.1,0.32,0.0,0.47,0.68,0.28,0.45,0.45,0.09,0.51,0.22,0.82,0.41,0.4,0.15,0.56
irplus.csv,0.11,0.32,0.5,0.52,0.67,0.48,0.55,0.57,0.23,0.53,0.24,0.56,0.42,0.51,0.19,0.76
mumble.csv,0.14,0.61,0.0,0.48,0.0,0.48,0.72,0.41,0.0,0.52,0.29,0.99,0.4,0.34,0.33,0.44
ondex.csv,0.05,0.0,0.0,0.15,0.49,0.63,0.48,0.35,0.02,0.14,0.38,0.39,0.33,0.4,0.18,0.63
powerfolder.csv,0.12,0.38,0.0,0.31,0.5,0.62,0.53,0.37,0.48,0.34,0.3,0.59,0.43,0.32,0.24,0.66
projectts.csv,0.1,0.66,0.04,0.35,0.47,0.54,0.53,0.44,0.07,0.64,0.27,0.74,0.4,0.44,0.1,0.68
quantlib.csv,0.06,0.05,0.0,0.91,0.0,0.75,0.0,0.27,0.0,0.37,0.29,0.47,0.45,0.36,0.54,0.05
smartgwt.csv,0.09,0.48,0.09,0.7,0.6,0.63,0.51,0.32,0.38,0.58,0.23,0.06,0.34,0.3,0.28,0.73
tweetsharp.csv,0.0,0.64,0.03,0.6,0.41,0.67,0.47,0.4,0.02,0.12,0.23,0.15,0.38,0.24,0.14,0.81
wxlua.csv,0.03,0.63,0.07,0.93,0.49,0.75,0.34,0.19,0.33,0.72,0.19,0.12,0.23,0.2,0.32,0.84
