,ontomorphtab.csv,delphilhlplib.csv,flexpay.csv,gabel.csv,img-browse-sort.csv,passwordsafe.csv,genoviz.csv
delphilhlplib.csv,0.48,0.0,0.31,0.43,0.63,0.75,0.53
flexpay.csv,0.9,0.44,0.0,0.05,0.76,0.66,0.8
gabel.csv,0.05,0.0,0.04,0.0,0.0,0.0,0.09
genoviz.csv,0.0,0.39,0.05,0.05,0.03,0.0,0.0
img-browse-sort.csv,0.19,0.39,0.32,0.34,0.0,0.15,0.36
ontomorphtab.csv,0.0,0.5,0.71,0.6,0.71,0.27,0.82
passwordsafe.csv,0.57,0.67,0.64,0.7,0.76,0.0,0.73
