,x4x.csv,mobicents.csv,jmol.csv,bnetd.csv,minig.csv,grisbi.csv,zabbix.csv,carabiner.csv,zxing.csv
bnetd.csv,0.37,0.42,0.38,0.44,0.52,0.28,0.33,0.57,0.36
carabiner.csv,0.33,0.37,0.46,0.39,0.37,0.29,0.34,0.46,0.36
grisbi.csv,0.33,0.37,0.33,0.46,0.33,0.32,0.37,0.41,0.36
jmol.csv,0.4,0.41,0.45,0.55,0.37,0.42,0.5,0.45,0.41
minig.csv,0.42,0.43,0.33,0.52,0.44,0.4,0.49,0.5,0.34
mobicents.csv,0.36,0.45,0.34,0.57,0.6,0.39,0.58,0.86,0.32
x4x.csv,0.5,0.52,0.43,0.46,0.43,0.42,0.59,0.95,0.38
zabbix.csv,0.54,0.51,0.81,0.53,0.48,0.46,0.68,0.74,0.39
zxing.csv,0.5,0.5,0.59,0.42,0.53,0.41,0.42,0.74,0.41
