,x4x.csv,mobicents.csv,jmol.csv,bnetd.csv,minig.csv,grisbi.csv,zabbix.csv,carabiner.csv,zxing.csv
bnetd.csv,0.9,0.89,0.8,0.69,0.65,0.91,0.78,0.55,1.0
carabiner.csv,0.74,0.88,0.56,0.56,0.87,0.86,0.49,0.64,0.7
grisbi.csv,0.95,0.97,0.99,0.59,0.98,0.79,0.75,1.0,0.98
jmol.csv,0.74,0.87,0.66,0.67,0.87,0.62,0.62,0.86,0.89
minig.csv,0.62,0.63,1.0,0.72,0.72,0.85,0.72,0.05,0.86
mobicents.csv,0.74,0.66,0.93,0.72,0.48,0.83,0.88,0.27,0.79
x4x.csv,0.69,0.69,0.71,0.92,0.7,0.8,0.77,0.09,0.91
zabbix.csv,0.55,0.67,0.28,0.62,0.65,0.53,0.48,0.18,0.93
zxing.csv,0.52,0.53,0.36,0.67,0.5,0.56,0.52,0.18,0.73
