,f1,g,recall,precision,pf,wins
echongl.csv,0.6000000000000001,0.44999999999999996,0.76,0.605,0.5800000000000001,7
ivatamasks.csv,0.715,0.37,0.835,0.675,0.8400000000000001,6
orc.csv,0.33499999999999996,0.46,0.41,0.5,0.24,3
plato.csv,0.715,0.28,0.96,0.6799999999999999,0.92,5
proftp.csv,0.26,0.29,0.25,0.635,0.12,1
tycho.csv,0.4,0.365,0.325,0.6799999999999999,0.37,2
uclmda.csv,0.045000000000000005,0.030000000000000002,0.025,0.49,0.1,0
umber.csv,0.725,0.475,0.875,0.7,0.7649999999999999,9
unicase.csv,0.64,0.605,0.835,0.615,0.67,10
vienna-add-in.csv,0.625,0.49,0.585,0.65,0.5,8
wpdev.csv,0.795,0.09,1.0,0.67,0.98,4
