,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.87,0.29,0.48,1.01,0.68,0.94,0.54,0.23,1.0,0.68,0.92,1.2
ivatamasks.csv,1.0,0.3,0.94,0.39,1.0,0.82,0.63,0.9,1.0,0.76,0.92,1.0
orc.csv,0.96,0.53,0.24,0.66,0.91,0.69,0.47,1.0,1.0,0.38,0.7,1.1
plato.csv,0.87,1.0,0.95,0.69,0.94,0.21,0.97,0.64,1.0,0.85,0.96,1.0
proftp.csv,1.0,0.75,0.77,0.86,0.88,0.82,0.36,0.73,1.0,0.23,0.64,1.0
tycho.csv,0.99,0.7,0.72,0.72,0.71,0.75,0.86,0.83,0.36,0.5,0.85,0.91
uclmda.csv,1.0,0.99,1.03,1.0,0.76,0.94,0.9,0.99,0.74,1.0,0.97,0.01
umber.csv,0.24,0.58,0.98,0.7,0.79,1.0,0.87,0.89,0.94,0.86,0.53,0.83
unicase.csv,0.33,0.5,0.67,0.96,0.74,0.77,0.92,0.42,0.76,0.74,0.48,1.19
vienna-add-in.csv,0.56,1.09,0.85,0.74,0.43,0.69,1.0,0.86,0.64,1.08,0.87,0.28
wpdev.csv,0.98,0.0,0.98,1.0,0.98,1.0,1.0,0.87,0.96,0.97,0.99,1.0
