,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.95,0.71,0.75,0.9,0.46,0.67,0.77,0.84,0.0,1.0,0.94,0.01
ivatamasks.csv,1.0,0.7,0.5,0.76,0.98,0.21,0.57,0.91,1.0,1.0,0.75,1.0
orc.csv,0.05,0.47,0.88,0.52,0.12,0.71,0.9,0.0,0.0,1.0,0.35,0.02
plato.csv,0.95,1.0,0.75,0.73,0.86,0.83,1.0,0.43,1.0,1.0,0.97,1.0
proftp.csv,0.0,0.25,0.25,0.21,0.12,0.48,0.77,0.27,0.0,1.0,0.39,0.0
tycho.csv,0.11,0.51,0.31,0.51,0.34,0.26,0.2,0.22,0.74,1.0,0.69,0.25
uclmda.csv,0.0,0.01,0.0,0.0,0.34,0.1,0.13,0.01,0.43,0.0,0.04,0.99
umber.csv,0.79,0.71,1.0,0.96,0.6,1.0,0.97,0.73,0.14,1.0,0.68,0.99
unicase.csv,0.84,0.93,0.94,0.91,0.37,0.83,1.0,0.7,0.74,1.0,0.78,0.02
vienna-add-in.csv,0.74,0.57,0.56,0.67,0.71,0.52,0.0,0.74,0.6,0.0,0.39,0.72
wpdev.csv,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.93,1.0,1.0,1.0,0.94
