,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.42,0.75,0.71,0.0,0.48,0.35,0.7,0.84,0.0,0.7,0.3,0.01
ivatamasks.csv,0.0,0.74,0.38,0.75,0.0,0.25,0.56,0.37,0.0,0.61,0.37,0.0
orc.csv,0.06,0.53,0.86,0.53,0.14,0.6,0.79,0.0,0.0,0.89,0.39,0.02
plato.csv,0.42,0.0,0.3,0.61,0.26,0.84,0.13,0.47,0.0,0.47,0.17,0.0
proftp.csv,0.0,0.29,0.29,0.24,0.15,0.46,0.76,0.31,0.0,0.94,0.43,0.0
tycho.csv,0.13,0.51,0.35,0.5,0.38,0.3,0.23,0.26,0.74,0.83,0.46,0.28
uclmda.csv,0.0,0.01,0.0,0.0,0.37,0.12,0.16,0.01,0.45,0.0,0.05,0.99
umber.csv,0.81,0.65,0.09,0.67,0.51,0.0,0.44,0.43,0.17,0.45,0.65,0.5
unicase.csv,0.81,0.79,0.69,0.17,0.4,0.57,0.3,0.7,0.56,0.64,0.73,0.02
vienna-add-in.csv,0.68,0.0,0.46,0.56,0.7,0.52,0.0,0.46,0.58,0.0,0.39,0.76
wpdev.csv,0.09,1.0,0.09,0.0,0.09,0.0,0.0,0.42,0.17,0.13,0.05,0.0
