,fritzing.csv,aubit4gl.csv,firebreath.csv,patterntesting.csv,mpgravity.csv,httpcontentparser.csv,bibedt.csv,roller.csv,cascading.csv,xfce.csv
aubit4gl.csv,0.04,0.69,0.02,0.03,0.25,0.0,0.0,0.51,0.0,0.03
bibedt.csv,0.35,0.48,0.0,0.27,0.17,0.55,0.6,0.87,0.26,0.72
cascading.csv,0.86,0.76,0.75,0.5,0.08,0.7,0.7,0.72,0.73,0.6
firebreath.csv,0.71,0.59,0.7,0.37,0.0,0.8,0.5,0.44,0.68,0.68
fritzing.csv,0.72,0.24,0.43,0.5,0.25,0.8,0.2,0.77,0.34,0.37
httpcontentparser.csv,0.29,0.0,0.3,0.17,0.08,0.8,0.5,0.47,0.53,0.24
mpgravity.csv,1.0,0.19,0.88,0.87,0.75,0.95,1.0,0.97,0.87,0.8
patterntesting.csv,0.94,0.7,0.95,0.7,0.58,1.0,0.7,0.96,0.91,0.9
roller.csv,0.92,0.7,0.92,0.53,0.42,0.8,1.0,0.71,0.89,0.97
xfce.csv,0.65,0.65,0.85,1.0,0.83,0.75,0.6,0.95,0.82,0.68
