,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.76,0.98,1.0,0.91,0.98,0.59,0.75,0.67,0.67,0.57,0.76,0.88,0.8,0.21,0.78,0.03,0.88
cubefs.csv,0.62,0.54,0.0,0.55,0.89,0.85,0.38,0.75,0.76,0.69,0.0,0.44,0.51,0.46,0.82,0.68,0.62
gwanted.csv,0.38,0.02,0.0,0.04,0.33,0.41,0.38,0.09,0.32,0.01,0.18,0.0,0.02,0.0,0.02,0.03,0.06
iaml.csv,0.84,0.69,0.5,0.93,0.75,0.9,0.38,0.76,0.02,0.46,0.47,0.75,0.73,0.82,0.52,0.62,0.5
java-gnome.csv,0.27,0.56,0.0,0.39,1.0,0.12,0.12,0.2,0.3,0.24,0.09,0.06,0.58,0.11,0.43,0.15,0.25
mecat.csv,0.0,0.01,0.0,0.06,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mvdsv.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
openwbem.csv,0.53,0.01,1.0,0.63,0.71,0.71,0.75,0.77,0.47,0.67,0.79,0.75,0.53,0.54,0.53,0.71,0.62
orc.csv,0.82,0.51,0.0,0.0,0.03,0.93,1.0,0.17,0.38,0.15,0.71,0.12,0.02,0.32,0.33,0.32,0.0
plato.csv,0.96,0.9,1.0,0.89,0.0,0.85,0.0,0.78,0.67,0.79,0.91,0.56,0.83,0.86,0.9,0.74,0.94
rodin-b-sharp.csv,0.05,0.04,0.5,0.06,0.43,0.15,0.5,0.0,0.61,0.38,0.03,0.5,0.07,0.0,0.25,0.68,0.12
ta3d.csv,0.67,0.35,0.0,0.69,0.7,0.68,0.62,0.66,0.5,0.71,0.5,0.5,0.63,0.79,0.62,0.47,0.0
tycho.csv,0.78,0.74,0.5,0.65,0.63,0.44,0.5,0.72,0.4,0.4,0.29,0.31,0.36,0.04,0.5,0.41,0.56
umber.csv,0.0,0.37,0.0,0.6,0.78,0.0,0.0,0.28,0.17,0.07,0.18,0.19,0.27,0.18,0.35,0.41,0.06
vienna-add-in.csv,0.4,0.68,0.5,0.98,0.78,0.0,0.88,0.93,0.66,0.94,0.94,0.94,0.9,1.0,1.0,0.94,1.0
wpdev.csv,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.95,0.76,1.0,0.88,0.93,0.96,0.98,0.62,1.0
