,umber.csv,openwbem.csv,wpdev.csv,orc.csv,mvdsv.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,iaml.csv,gwanted.csv,cubefs.csv,java-gnome.csv,elynx.csv,tycho.csv,mecat.csv,codesmith.csv,ta3d.csv
codesmith.csv,0.4,0.49,0.41,0.32,0.38,0.42,0.41,0.4,0.43,0.45,0.4,0.41,0.38,0.67,0.38,0.44,0.4
cubefs.csv,0.47,0.5,0.43,0.44,0.37,0.43,0.57,0.4,0.43,0.44,0.49,0.59,0.48,0.42,0.37,0.39,0.38
gwanted.csv,0.53,0.93,0.92,0.83,0.56,0.52,0.69,0.97,0.66,0.96,0.76,0.5,0.0,0.0,0.0,0.5,0.67
iaml.csv,0.37,0.48,0.44,0.31,0.36,0.46,0.5,0.43,0.58,0.66,0.6,0.53,0.42,0.39,0.42,0.46,0.4
java-gnome.csv,0.48,0.59,0.46,0.57,0.38,0.81,0.88,0.62,0.57,0.66,0.95,0.41,0.44,0.86,0.43,0.58,0.77
mecat.csv,0.0,0.67,0.8,0.92,0.0,0.0,0.0,0.67,0.5,0.5,0.0,0.67,0.0,0.0,0.67,0.0,0.0
mvdsv.csv,0.0,0.67,0.0,0.0,0.83,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
openwbem.csv,0.61,0.64,0.49,0.45,0.49,0.49,0.59,0.46,0.59,0.5,0.48,0.46,0.58,0.47,0.58,0.46,0.49
orc.csv,0.5,0.69,0.86,0.93,0.75,0.43,0.47,0.98,0.73,0.95,0.54,0.67,0.0,0.88,0.67,0.73,0.67
plato.csv,0.41,0.54,0.48,0.33,0.0,0.52,0.45,0.46,0.5,0.49,0.48,0.6,0.42,0.49,0.38,0.45,0.47
rodin-b-sharp.csv,0.67,0.97,0.77,0.93,0.79,0.92,0.58,0.69,0.57,0.76,0.67,0.44,0.75,0.0,0.75,0.68,0.83
ta3d.csv,0.46,0.56,0.41,0.38,0.38,0.49,0.39,0.45,0.52,0.43,0.55,0.5,0.39,0.44,0.41,0.41,0.41
tycho.csv,0.49,0.59,0.44,0.39,0.41,0.47,0.61,0.49,0.55,0.48,0.7,0.58,0.52,0.53,0.44,0.55,0.52
umber.csv,0.58,0.83,0.97,0.42,0.45,0.67,0.8,0.74,0.94,0.92,0.95,0.4,0.65,0.67,0.68,0.57,0.89
vienna-add-in.csv,0.47,0.5,0.4,0.3,0.33,0.53,0.4,0.4,0.48,0.41,0.43,0.36,0.35,0.39,0.33,0.36,0.41
wpdev.csv,0.34,0.49,0.39,0.29,0.38,0.4,0.4,0.38,0.4,0.43,0.41,0.38,0.34,0.4,0.32,0.42,0.41
